time,lon,lat,Cloud_Cover_Mean
2017-01-01,9.399999999989234,47.40000000000242,0.15432282
2017-01-02,9.399999999989234,47.40000000000242,0.6478182
2017-01-03,9.399999999989234,47.40000000000242,0.55880916
2017-01-04,9.399999999989234,47.40000000000242,0.8580623
2017-01-05,9.399999999989234,47.40000000000242,0.6546022
2017-01-06,9.399999999989234,47.40000000000242,0.5799666
2017-01-07,9.399999999989234,47.40000000000242,0.8765854
2017-01-08,9.399999999989234,47.40000000000242,0.82154053
2017-01-09,9.399999999989234,47.40000000000242,0.6613244
2017-01-10,9.399999999989234,47.40000000000242,0.91566855
2017-01-11,9.399999999989234,47.40000000000242,0.7529931
2017-01-12,9.399999999989234,47.40000000000242,0.9237571
2017-01-13,9.399999999989234,47.40000000000242,0.72023517
2017-01-14,9.399999999989234,47.40000000000242,0.903434
2017-01-15,9.399999999989234,47.40000000000242,0.67929024
2017-01-16,9.399999999989234,47.40000000000242,0.6603335
2017-01-17,9.399999999989234,47.40000000000242,0.791916
2017-01-18,9.399999999989234,47.40000000000242,0.38875952
2017-01-19,9.399999999989234,47.40000000000242,0.3285592
2017-01-20,9.399999999989234,47.40000000000242,0.3395041
2017-01-21,9.399999999989234,47.40000000000242,0.15557286
2017-01-22,9.399999999989234,47.40000000000242,0.21188575
2017-01-23,9.399999999989234,47.40000000000242,0.18880467
2017-01-24,9.399999999989234,47.40000000000242,0.6527955
2017-01-25,9.399999999989234,47.40000000000242,0.37297282
2017-01-26,9.399999999989234,47.40000000000242,0.33333248
2017-01-27,9.399999999989234,47.40000000000242,0.71174276
2017-01-28,9.399999999989234,47.40000000000242,0.3092203
2017-01-29,9.399999999989234,47.40000000000242,0.1438487
2017-01-30,9.399999999989234,47.40000000000242,0.9201982
2017-01-31,9.399999999989234,47.40000000000242,0.93836075
2017-02-01,9.399999999989234,47.40000000000242,0.8868062
2017-02-02,9.399999999989234,47.40000000000242,0.7791139
2017-02-03,9.399999999989234,47.40000000000242,0.7430257
2017-02-04,9.399999999989234,47.40000000000242,0.6704523
2017-02-05,9.399999999989234,47.40000000000242,0.8178364
2017-02-06,9.399999999989234,47.40000000000242,0.86590064
2017-02-07,9.399999999989234,47.40000000000242,0.9266732
2017-02-08,9.399999999989234,47.40000000000242,0.9277043
2017-02-09,9.399999999989234,47.40000000000242,0.84269595
2017-02-10,9.399999999989234,47.40000000000242,0.52815145
2017-02-11,9.399999999989234,47.40000000000242,0.4466953
2017-02-12,9.399999999989234,47.40000000000242,0.57964414
2017-02-13,9.399999999989234,47.40000000000242,0.07910624
2017-02-14,9.399999999989234,47.40000000000242,0.0
2017-02-15,9.399999999989234,47.40000000000242,0.0
2017-02-16,9.399999999989234,47.40000000000242,0.23467731
2017-02-17,9.399999999989234,47.40000000000242,0.8223372
2017-02-18,9.399999999989234,47.40000000000242,0.4480513
2017-02-19,9.399999999989234,47.40000000000242,0.6346169
2017-02-20,9.399999999989234,47.40000000000242,0.89954543
2017-02-21,9.399999999989234,47.40000000000242,0.9531003
2017-02-22,9.399999999989234,47.40000000000242,0.6364936
2017-02-23,9.399999999989234,47.40000000000242,0.5446648
2017-02-24,9.399999999989234,47.40000000000242,0.74154127
2017-02-25,9.399999999989234,47.40000000000242,0.7099127
2017-02-26,9.399999999989234,47.40000000000242,0.6273637
2017-02-27,9.399999999989234,47.40000000000242,0.20764793
2017-02-28,9.399999999989234,47.40000000000242,0.7654062
2017-03-01,9.399999999989234,47.40000000000242,0.8678195
2017-03-02,9.399999999989234,47.40000000000242,0.42335758
2017-03-03,9.399999999989234,47.40000000000242,0.8254211
2017-03-04,9.399999999989234,47.40000000000242,0.65871966
2017-03-05,9.399999999989234,47.40000000000242,0.7524254
2017-03-06,9.399999999989234,47.40000000000242,0.8523793
2017-03-07,9.399999999989234,47.40000000000242,0.6619628
2017-03-08,9.399999999989234,47.40000000000242,0.8722435
2017-03-09,9.399999999989234,47.40000000000242,0.9189161
2017-03-10,9.399999999989234,47.40000000000242,0.29607546
2017-03-11,9.399999999989234,47.40000000000242,0.58614725
2017-03-12,9.399999999989234,47.40000000000242,0.0
2017-03-13,9.399999999989234,47.40000000000242,0.21825947
2017-03-14,9.399999999989234,47.40000000000242,0.40006676
2017-03-15,9.399999999989234,47.40000000000242,0.14566079
2017-03-16,9.399999999989234,47.40000000000242,0.054862995
2017-03-17,9.399999999989234,47.40000000000242,0.4181422
2017-03-18,9.399999999989234,47.40000000000242,0.98036015
2017-03-19,9.399999999989234,47.40000000000242,0.88274175
2017-03-20,9.399999999989234,47.40000000000242,0.75166965
2017-03-21,9.399999999989234,47.40000000000242,0.9747205
2017-03-22,9.399999999989234,47.40000000000242,0.9842738
2017-03-23,9.399999999989234,47.40000000000242,0.75467587
2017-03-24,9.399999999989234,47.40000000000242,0.97250944
2017-03-25,9.399999999989234,47.40000000000242,0.19746448
2017-03-26,9.399999999989234,47.40000000000242,0.6349204
2017-03-27,9.399999999989234,47.40000000000242,0.0
2017-03-28,9.399999999989234,47.40000000000242,0.05399399
2017-03-29,9.399999999989234,47.40000000000242,0.31313306
2017-03-30,9.399999999989234,47.40000000000242,0.30000234
2017-03-31,9.399999999989234,47.40000000000242,0.40647814
2017-04-01,9.399999999989234,47.40000000000242,0.7831615
2017-04-02,9.399999999989234,47.40000000000242,0.908197
2017-04-03,9.399999999989234,47.40000000000242,0.5671794
2017-04-04,9.399999999989234,47.40000000000242,0.5782227
2017-04-05,9.399999999989234,47.40000000000242,0.88782334
2017-04-06,9.399999999989234,47.40000000000242,0.74071264
