time,lon,lat,Temperature_Air_2m_Min_Night_Time
2015-01-01,9.399999999989234,47.40000000000242,-5.683749999999975
2015-01-02,9.399999999989234,47.40000000000242,-8.58642999999995
2015-01-03,9.399999999989234,47.40000000000242,0.649470000000008
2015-01-04,9.399999999989234,47.40000000000242,1.4852500000000077
2015-01-05,9.399999999989234,47.40000000000242,-2.096929999999986
2015-01-06,9.399999999989234,47.40000000000242,-1.2204299999999648
2015-01-07,9.399999999989234,47.40000000000242,-0.41575000000000273
2015-01-08,9.399999999989234,47.40000000000242,-0.2574999999999932
2015-01-09,9.399999999989234,47.40000000000242,3.712950000000035
2015-01-10,9.399999999989234,47.40000000000242,8.208370000000002
2015-01-11,9.399999999989234,47.40000000000242,7.640800000000013
2015-01-12,9.399999999989234,47.40000000000242,0.1966000000000463
2015-01-13,9.399999999989234,47.40000000000242,1.1835300000000188
2015-01-14,9.399999999989234,47.40000000000242,0.8059000000000083
2015-01-15,9.399999999989234,47.40000000000242,-1.1796299999999746
2015-01-16,9.399999999989234,47.40000000000242,1.9621200000000272
2015-01-17,9.399999999989234,47.40000000000242,1.258420000000001
2015-01-18,9.399999999989234,47.40000000000242,-1.073129999999992
2015-01-19,9.399999999989234,47.40000000000242,-4.4178
2015-01-20,9.399999999989234,47.40000000000242,-2.193240000000003
2015-01-21,9.399999999989234,47.40000000000242,-2.7753699999999526
2015-01-22,9.399999999989234,47.40000000000242,-7.247140000000002
2015-01-23,9.399999999989234,47.40000000000242,-1.066629999999975
2015-01-24,9.399999999989234,47.40000000000242,-1.7627999999999702
2015-01-25,9.399999999989234,47.40000000000242,-1.5603999999999587
2015-01-26,9.399999999989234,47.40000000000242,-5.849899999999991
2015-01-27,9.399999999989234,47.40000000000242,-0.8220999999999776
2015-01-28,9.399999999989234,47.40000000000242,-2.3766499999999837
2015-01-29,9.399999999989234,47.40000000000242,-0.16311999999999216
2015-01-30,9.399999999989234,47.40000000000242,-1.1521699999999555
2015-01-31,9.399999999989234,47.40000000000242,-3.148719999999969
2015-02-01,9.399999999989234,47.40000000000242,-4.386329999999987
2015-02-02,9.399999999989234,47.40000000000242,-2.7972199999999816
2015-02-03,9.399999999989234,47.40000000000242,-7.239319999999964
2015-02-04,9.399999999989234,47.40000000000242,-6.396029999999996
2015-02-05,9.399999999989234,47.40000000000242,-5.705479999999966
2015-02-06,9.399999999989234,47.40000000000242,-4.663239999999973
2015-02-07,9.399999999989234,47.40000000000242,-7.939669999999978
2015-02-08,9.399999999989234,47.40000000000242,-5.917499999999961
2015-02-09,9.399999999989234,47.40000000000242,-5.245519999999999
2015-02-10,9.399999999989234,47.40000000000242,-5.31741999999997
2015-02-11,9.399999999989234,47.40000000000242,-4.31189999999998
2015-02-12,9.399999999989234,47.40000000000242,-5.334049999999991
2015-02-13,9.399999999989234,47.40000000000242,-6.330659999999966
2015-02-14,9.399999999989234,47.40000000000242,-4.4079699999999775
2015-02-15,9.399999999989234,47.40000000000242,-5.452249999999992
2015-02-16,9.399999999989234,47.40000000000242,-7.568399999999997
2015-02-17,9.399999999989234,47.40000000000242,-7.341959999999972
2015-02-18,9.399999999989234,47.40000000000242,-2.60145
2015-02-19,9.399999999989234,47.40000000000242,-9.82275999999996
2015-02-20,9.399999999989234,47.40000000000242,-8.491299999999967
2015-02-21,9.399999999989234,47.40000000000242,-4.021599999999978
2015-02-22,9.399999999989234,47.40000000000242,-2.2260499999999865
2015-02-23,9.399999999989234,47.40000000000242,-7.900299999999959
2015-02-24,9.399999999989234,47.40000000000242,-0.3476999999999748
2015-02-25,9.399999999989234,47.40000000000242,-3.5944599999999696
2015-02-26,9.399999999989234,47.40000000000242,-5.467499999999973
2015-02-27,9.399999999989234,47.40000000000242,-6.456549999999993
2015-02-28,9.399999999989234,47.40000000000242,-1.113900000000001
2015-03-01,9.399999999989234,47.40000000000242,-4.205969999999979
2015-03-02,9.399999999989234,47.40000000000242,4.087030000000027
2015-03-03,9.399999999989234,47.40000000000242,-3.8304200000000037
2015-03-04,9.399999999989234,47.40000000000242,0.8788700000000063
2015-03-05,9.399999999989234,47.40000000000242,-2.6130999999999744
2015-03-06,9.399999999989234,47.40000000000242,-3.182259999999985
2015-03-07,9.399999999989234,47.40000000000242,-2.9814199999999573
2015-03-08,9.399999999989234,47.40000000000242,-1.9593600000000038
2015-03-09,9.399999999989234,47.40000000000242,-0.3275799999999549
2015-03-10,9.399999999989234,47.40000000000242,-0.6204999999999927
2015-03-11,9.399999999989234,47.40000000000242,2.4865400000000477
2015-03-12,9.399999999989234,47.40000000000242,-1.611099999999965
2015-03-13,9.399999999989234,47.40000000000242,-1.4896999999999707
2015-03-14,9.399999999989234,47.40000000000242,-1.2667299999999955
2015-03-15,9.399999999989234,47.40000000000242,-1.4582299999999577
2015-03-16,9.399999999989234,47.40000000000242,1.3208000000000197
2015-03-17,9.399999999989234,47.40000000000242,2.018880000000024
2015-03-18,9.399999999989234,47.40000000000242,2.6119600000000105
2015-03-19,9.399999999989234,47.40000000000242,2.5476000000000454
2015-03-20,9.399999999989234,47.40000000000242,0.989400000000046
2015-03-21,9.399999999989234,47.40000000000242,2.449950000000001
2015-03-22,9.399999999989234,47.40000000000242,0.7114200000000324
2015-03-23,9.399999999989234,47.40000000000242,0.094600000000014
2015-03-24,9.399999999989234,47.40000000000242,1.1406800000000317
2015-03-25,9.399999999989234,47.40000000000242,2.1592300000000364
2015-03-26,9.399999999989234,47.40000000000242,2.5865400000000136
2015-03-27,9.399999999989234,47.40000000000242,2.17962
