time,lon,lat,Temperature_Air_2m_Min_24h
2015-01-01,9.399999999989234,47.40000000000242,-6.275599999999997
2015-01-02,9.399999999989234,47.40000000000242,-8.394499999999994
2015-01-03,9.399999999989234,47.40000000000242,0.5411600000000476
2015-01-04,9.399999999989234,47.40000000000242,-1.5097399999999652
2015-01-05,9.399999999989234,47.40000000000242,-2.5984299999999507
2015-01-06,9.399999999989234,47.40000000000242,-1.5978999999999814
2015-01-07,9.399999999989234,47.40000000000242,-1.3766499999999837
2015-01-08,9.399999999989234,47.40000000000242,0.0013000000000147338
2015-01-09,9.399999999989234,47.40000000000242,3.4219000000000506
2015-01-10,9.399999999989234,47.40000000000242,8.882900000000006
2015-01-11,9.399999999989234,47.40000000000242,0.9039999999999964
2015-01-12,9.399999999989234,47.40000000000242,0.4169600000000173
2015-01-13,9.399999999989234,47.40000000000242,-0.5696499999999673
2015-01-14,9.399999999989234,47.40000000000242,0.029050000000040654
2015-01-15,9.399999999989234,47.40000000000242,-1.0241499999999633
2015-01-16,9.399999999989234,47.40000000000242,1.031000000000006
2015-01-17,9.399999999989234,47.40000000000242,0.41076000000003887
2015-01-18,9.399999999989234,47.40000000000242,-2.2646199999999794
2015-01-19,9.399999999989234,47.40000000000242,-4.22811999999999
2015-01-20,9.399999999989234,47.40000000000242,-2.161900000000003
2015-01-21,9.399999999989234,47.40000000000242,-6.4011299999999665
2015-01-22,9.399999999989234,47.40000000000242,-7.07687999999996
2015-01-23,9.399999999989234,47.40000000000242,-1.3028599999999528
2015-01-24,9.399999999989234,47.40000000000242,-1.569279999999992
2015-01-25,9.399999999989234,47.40000000000242,-4.221000000000004
2015-01-26,9.399999999989234,47.40000000000242,-5.68277999999998
2015-01-27,9.399999999989234,47.40000000000242,-1.3643999999999892
2015-01-28,9.399999999989234,47.40000000000242,-2.88385999999997
2015-01-29,9.399999999989234,47.40000000000242,-0.14044999999998709
2015-01-30,9.399999999989234,47.40000000000242,-1.9476999999999975
2015-01-31,9.399999999989234,47.40000000000242,-2.9787000000000035
2015-02-01,9.399999999989234,47.40000000000242,-6.608799999999974
2015-02-02,9.399999999989234,47.40000000000242,-5.084299999999985
2015-02-03,9.399999999989234,47.40000000000242,-10.590499999999963
2015-02-04,9.399999999989234,47.40000000000242,-7.4363199999999665
2015-02-05,9.399999999989234,47.40000000000242,-5.558019999999999
2015-02-06,9.399999999989234,47.40000000000242,-5.756399999999985
2015-02-07,9.399999999989234,47.40000000000242,-7.830150000000003
2015-02-08,9.399999999989234,47.40000000000242,-6.5312999999999874
2015-02-09,9.399999999989234,47.40000000000242,-6.239019999999982
2015-02-10,9.399999999989234,47.40000000000242,-5.271029999999996
2015-02-11,9.399999999989234,47.40000000000242,-5.2488500000000045
2015-02-12,9.399999999989234,47.40000000000242,-6.44556
2015-02-13,9.399999999989234,47.40000000000242,-8.229219999999998
2015-02-14,9.399999999989234,47.40000000000242,-4.610239999999976
2015-02-15,9.399999999989234,47.40000000000242,-5.729219999999998
2015-02-16,9.399999999989234,47.40000000000242,-8.202599999999961
2015-02-17,9.399999999989234,47.40000000000242,-7.2346
2015-02-18,9.399999999989234,47.40000000000242,-6.146699999999953
2015-02-19,9.399999999989234,47.40000000000242,-9.730169999999987
2015-02-20,9.399999999989234,47.40000000000242,-8.395819999999958
2015-02-21,9.399999999989234,47.40000000000242,-3.9087299999999914
2015-02-22,9.399999999989234,47.40000000000242,-5.160929999999951
2015-02-23,9.399999999989234,47.40000000000242,-7.81189999999998
2015-02-24,9.399999999989234,47.40000000000242,-2.32571999999999
2015-02-25,9.399999999989234,47.40000000000242,-4.323159999999973
2015-02-26,9.399999999989234,47.40000000000242,-5.553169999999966
2015-02-27,9.399999999989234,47.40000000000242,-6.372439999999983
2015-02-28,9.399999999989234,47.40000000000242,-4.094499999999982
2015-03-01,9.399999999989234,47.40000000000242,-3.8272999999999797
2015-03-02,9.399999999989234,47.40000000000242,-0.13949999999999818
2015-03-03,9.399999999989234,47.40000000000242,-4.2003199999999765
2015-03-04,9.399999999989234,47.40000000000242,-2.48993999999999
2015-03-05,9.399999999989234,47.40000000000242,-3.1738299999999526
2015-03-06,9.399999999989234,47.40000000000242,-3.893159999999966
2015-03-07,9.399999999989234,47.40000000000242,-2.9488000000000056
2015-03-08,9.399999999989234,47.40000000000242,-1.9807799999999816
2015-03-09,9.399999999989234,47.40000000000242,-0.390329999999949
2015-03-10,9.399999999989234,47.40000000000242,-0.5435200000000009
2015-03-11,9.399999999989234,47.40000000000242,0.07894000000004553
2015-03-12,9.399999999989234,47.40000000000242,-2.1405399999999872
2015-03-13,9.399999999989234,47.40000000000242,-2.036199999999951
2015-03-14,9.399999999989234,47.40000000000242,-1.913279999999986
2015-03-15,9.399999999989234,47.40000000000242,-1.399630000000002
2015-03-16,9.399999999989234,47.40000000000242,0.7673000000000343
2015-03-17,9.399999999989234,47.40000000000242,1.933680000000038
2015-03-18,9.399999999989234,47.40000000000242,2.680470000000014
2015-03-19,9.399999999989234,47.40000000000242,2.159500000000037
2015-03-20,9.399999999989234,47.40000000000242,0.6430600000000481
2015-03-21,9.399999999989234,47.40000000000242,1.9649
2015-03-22,9.399999999989234,47.40000000000242,0.7578400000000443
2015-03-23,9.399999999989234,47.40000000000242,0.1369600000000446
2015-03-24,9.399999999989234,47.40000000000242,0.5729000000000042
2015-03-25,9.399999999989234,47.40000000000242,2.205560000000048
2015-03-26,9.399999999989234,47.40000000000242,2.6304000000000087
2015-03-27,9.399999999989234,47.40000000000242,2.220450000000028
