Unnamed: 0,lat,lon,time,cloud cover mean,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
433,41.75,-2.75,2015-01-01,0.53487146,1.685995e-08,8.279570000000035,0.5510200000000509,3.73580000000004,626.6507
651,41.75,-2.75,2015-02-01,0.4502079,5.7992526e-09,10.59384,0.9256000000000312,5.946860000000015,629.98083
1303,41.75,-2.75,2015-03-01,0.58268833,2.2073026e-08,11.206230000000003,6.411580000000015,7.5079600000000255,653.12024
1845,41.75,-2.75,2015-04-01,0.6121153,3.291809e-08,12.680319999999996,1.8858600000000365,6.868430000000046,676.1831
2549,41.75,-2.75,2015-05-01,0.52420294,1.3656546e-08,22.859830000000045,12.239620000000002,16.810820000000035,792.065
3394,41.75,-2.75,2015-06-01,0.3655323,1.691403e-08,22.78045000000003,9.98293000000001,15.800400000000025,815.9163
3810,41.75,-2.75,2015-07-01,0.30819038,4.0848015e-08,25.31335000000001,14.432800000000045,19.80773000000005,832.5122
4280,41.75,-2.75,2015-08-01,0.30694526,2.8149035e-08,25.44580000000002,13.944600000000037,20.416620000000023,964.6717
4742,41.75,-2.75,2015-09-01,0.33163905,6.2992918e-09,20.36334000000005,12.736570000000029,16.316900000000032,808.7496
5449,41.75,-2.75,2015-10-01,0.4215509,7.1330737e-09,16.60894000000002,9.03970000000004,13.066640000000008,756.4664
5840,41.75,-2.75,2015-11-01,0.61742187,2.5733934e-08,11.305540000000008,2.288000000000011,7.203360000000032,702.5841
6709,41.75,-2.75,2015-12-01,0.65097755,1.4755843e-08,7.548580000000015,0.8962300000000027,4.367970000000014,652.7332
7017,41.75,-2.75,2016-01-01,0.57995236,7.536017e-09,7.46105,-0.8771999999999593,3.8631500000000183,641.1542
7545,41.75,-2.75,2016-02-01,0.50604093,1.3873524e-08,8.928740000000005,-1.8459799999999973,3.899620000000027,622.0767
8596,41.75,-2.75,2016-03-01,0.5737268,1.8489144e-08,16.09796,4.782100000000014,8.949100000000044,651.84283
8688,41.75,-2.75,2016-04-01,0.5843135,2.395742e-08,12.10537000000005,2.7859700000000203,7.852840000000015,672.08575
9482,41.75,-2.75,2016-05-01,0.52703637,1.677414e-08,20.775840000000017,8.463279999999997,15.19467000000003,762.0063
10239,41.75,-2.75,2016-06-01,0.38421282,3.82634e-09,30.158140000000003,13.789900000000046,20.742580000000032,826.5944
10809,41.75,-2.75,2016-07-01,0.26502424,0.0,30.7448,14.07125000000002,23.01147000000003,808.8903
11481,41.75,-2.75,2016-08-01,0.2714023,2.5119649e-09,29.210170000000005,13.983640000000037,20.515950000000032,769.0766
11973,41.75,-2.75,2016-09-01,0.31716758,0.0,23.689450000000026,9.715480000000014,18.161249999999995,817.8864
12317,41.75,-2.75,2016-10-01,0.5227362,8.269161e-09,18.33297000000005,10.786800000000028,14.305499999999997,769.1949
12731,41.75,-2.75,2016-11-01,0.68034536,4.1682053e-08,8.660799999999995,0.2087600000000407,4.66052000000002,657.884
13622,41.75,-2.75,2016-12-01,0.54522246,1.2465664e-08,8.525500000000022,-0.1558599999999614,2.7056800000000294,604.88495
