time,lon,lat,Precipitation_Flux
2015-01-01,9.399999999989234,47.40000000000242,0.0
2015-01-02,9.399999999989234,47.40000000000242,4.95
2015-01-03,9.399999999989234,47.40000000000242,12.18
2015-01-04,9.399999999989234,47.40000000000242,3.39
2015-01-05,9.399999999989234,47.40000000000242,0.0
2015-01-06,9.399999999989234,47.40000000000242,0.0
2015-01-07,9.399999999989234,47.40000000000242,0.28
2015-01-08,9.399999999989234,47.40000000000242,0.69
2015-01-09,9.399999999989234,47.40000000000242,4.74
2015-01-10,9.399999999989234,47.40000000000242,3.94
2015-01-11,9.399999999989234,47.40000000000242,13.92
2015-01-12,9.399999999989234,47.40000000000242,0.02
2015-01-13,9.399999999989234,47.40000000000242,0.0
2015-01-14,9.399999999989234,47.40000000000242,9.66
2015-01-15,9.399999999989234,47.40000000000242,0.0
2015-01-16,9.399999999989234,47.40000000000242,5.3
2015-01-17,9.399999999989234,47.40000000000242,20.58
2015-01-18,9.399999999989234,47.40000000000242,0.8
2015-01-19,9.399999999989234,47.40000000000242,0.03
2015-01-20,9.399999999989234,47.40000000000242,1.66
2015-01-21,9.399999999989234,47.40000000000242,0.01
2015-01-22,9.399999999989234,47.40000000000242,0.28
2015-01-23,9.399999999989234,47.40000000000242,2.13
2015-01-24,9.399999999989234,47.40000000000242,1.82
2015-01-25,9.399999999989234,47.40000000000242,4.87
2015-01-26,9.399999999989234,47.40000000000242,6.2
2015-01-27,9.399999999989234,47.40000000000242,7.37
2015-01-28,9.399999999989234,47.40000000000242,3.31
2015-01-29,9.399999999989234,47.40000000000242,9.38
2015-01-30,9.399999999989234,47.40000000000242,9.39
2015-01-31,9.399999999989234,47.40000000000242,1.68
2015-02-01,9.399999999989234,47.40000000000242,5.28
2015-02-02,9.399999999989234,47.40000000000242,10.09
2015-02-03,9.399999999989234,47.40000000000242,0.03
2015-02-04,9.399999999989234,47.40000000000242,0.49
2015-02-05,9.399999999989234,47.40000000000242,2.11
2015-02-06,9.399999999989234,47.40000000000242,0.33
2015-02-07,9.399999999989234,47.40000000000242,0.02
2015-02-08,9.399999999989234,47.40000000000242,3.46
2015-02-09,9.399999999989234,47.40000000000242,0.24
2015-02-10,9.399999999989234,47.40000000000242,0.01
2015-02-11,9.399999999989234,47.40000000000242,0.0
2015-02-12,9.399999999989234,47.40000000000242,0.0
2015-02-13,9.399999999989234,47.40000000000242,0.0
2015-02-14,9.399999999989234,47.40000000000242,0.07
2015-02-15,9.399999999989234,47.40000000000242,0.15
2015-02-16,9.399999999989234,47.40000000000242,0.0
2015-02-17,9.399999999989234,47.40000000000242,0.01
2015-02-18,9.399999999989234,47.40000000000242,0.05
2015-02-19,9.399999999989234,47.40000000000242,0.01
2015-02-20,9.399999999989234,47.40000000000242,0.0
2015-02-21,9.399999999989234,47.40000000000242,5.96
2015-02-22,9.399999999989234,47.40000000000242,5.16
2015-02-23,9.399999999989234,47.40000000000242,6.42
2015-02-24,9.399999999989234,47.40000000000242,3.64
2015-02-25,9.399999999989234,47.40000000000242,3.13
2015-02-26,9.399999999989234,47.40000000000242,0.0
2015-02-27,9.399999999989234,47.40000000000242,12.16
2015-02-28,9.399999999989234,47.40000000000242,1.43
2015-03-01,9.399999999989234,47.40000000000242,2.0
2015-03-02,9.399999999989234,47.40000000000242,18.87
2015-03-03,9.399999999989234,47.40000000000242,0.06
2015-03-04,9.399999999989234,47.40000000000242,6.6
2015-03-05,9.399999999989234,47.40000000000242,2.77
2015-03-06,9.399999999989234,47.40000000000242,0.02
2015-03-07,9.399999999989234,47.40000000000242,-0.0
2015-03-08,9.399999999989234,47.40000000000242,-0.0
2015-03-09,9.399999999989234,47.40000000000242,-0.0
2015-03-10,9.399999999989234,47.40000000000242,0.0
2015-03-11,9.399999999989234,47.40000000000242,1.66
2015-03-12,9.399999999989234,47.40000000000242,-0.0
2015-03-13,9.399999999989234,47.40000000000242,-0.0
2015-03-14,9.399999999989234,47.40000000000242,0.0
2015-03-15,9.399999999989234,47.40000000000242,0.0
2015-03-16,9.399999999989234,47.40000000000242,0.01
2015-03-17,9.399999999989234,47.40000000000242,-0.0
2015-03-18,9.399999999989234,47.40000000000242,0.07
2015-03-19,9.399999999989234,47.40000000000242,-0.0
2015-03-20,9.399999999989234,47.40000000000242,-0.0
2015-03-21,9.399999999989234,47.40000000000242,12.08
2015-03-22,9.399999999989234,47.40000000000242,3.21
2015-03-23,9.399999999989234,47.40000000000242,0.0
2015-03-24,9.399999999989234,47.40000000000242,0.29
2015-03-25,9.399999999989234,47.40000000000242,6.23
2015-03-26,9.399999999989234,47.40000000000242,4.32
2015-03-27,9.399999999989234,47.40000000000242,4.24
2015-03-28,9.399999999989234,47.40000000000242,1.29
2015-03-29,9.399999999989234,47.40000000000242,9.9
2015-03-30,9.399999999989234,47.40000000000242,22.58
2015-03-31,9.399999999989234,47.40000000000242,6.46
2015-04-01,9.399999999989234,47.40000000000242,6.13
2015-04-02,9.399999999989234,47.40000000000242,15.92
2015-04-03,9.399999999989234,47.40000000000242,2.26
2015-04-04,9.399999999989234,47.40000000000242,18.94
2015-04-05,9.399999999989234,47.40000000000242,0.83
2015-04-06,9.399999999989234,47.40000000000242,1.47
2015-04-07,9.399999999989234,47.40000000000242,0.0
2015-04-08,9.399999999989234,47.40000000000242,0.0
2015-04-09,9.399999999989234,47.40000000000242,0.0
2015-04-10,9.399999999989234,47.40000000000242,0.03
2015-04-11,9.399999999989234,47.40000000000242,0.38
2015-04-12,9.399999999989234,47.40000000000242,0.0
