time,lon,lat,Temperature_Air_2m_Mean_Night_Time
2015-01-01,9.399999999989234,47.40000000000242,268.32834
2015-01-02,9.399999999989234,47.40000000000242,267.2739
2015-01-03,9.399999999989234,47.40000000000242,274.64597
2015-01-04,9.399999999989234,47.40000000000242,279.24393
2015-01-05,9.399999999989234,47.40000000000242,271.59177
2015-01-06,9.399999999989234,47.40000000000242,271.5121
2015-01-07,9.399999999989234,47.40000000000242,272.86594
2015-01-08,9.399999999989234,47.40000000000242,273.05118
2015-01-09,9.399999999989234,47.40000000000242,278.77777
2015-01-10,9.399999999989234,47.40000000000242,283.27844
2015-01-11,9.399999999989234,47.40000000000242,283.0555
2015-01-12,9.399999999989234,47.40000000000242,274.78564
2015-01-13,9.399999999989234,47.40000000000242,274.09146
2015-01-14,9.399999999989234,47.40000000000242,277.46906
2015-01-15,9.399999999989234,47.40000000000242,274.03064
2015-01-16,9.399999999989234,47.40000000000242,276.176
2015-01-17,9.399999999989234,47.40000000000242,276.01154
2015-01-18,9.399999999989234,47.40000000000242,272.5045
2015-01-19,9.399999999989234,47.40000000000242,271.24872
2015-01-20,9.399999999989234,47.40000000000242,271.58228
2015-01-21,9.399999999989234,47.40000000000242,272.08536
2015-01-22,9.399999999989234,47.40000000000242,269.33563
2015-01-23,9.399999999989234,47.40000000000242,271.83066
2015-01-24,9.399999999989234,47.40000000000242,271.9154
2015-01-25,9.399999999989234,47.40000000000242,271.49667
2015-01-26,9.399999999989234,47.40000000000242,269.31595
2015-01-27,9.399999999989234,47.40000000000242,272.18726
2015-01-28,9.399999999989234,47.40000000000242,272.24533
2015-01-29,9.399999999989234,47.40000000000242,273.2464
2015-01-30,9.399999999989234,47.40000000000242,273.44452
2015-01-31,9.399999999989234,47.40000000000242,271.6272
2015-02-01,9.399999999989234,47.40000000000242,271.82852
2015-02-02,9.399999999989234,47.40000000000242,271.71387
2015-02-03,9.399999999989234,47.40000000000242,270.0292
2015-02-04,9.399999999989234,47.40000000000242,267.74573
2015-02-05,9.399999999989234,47.40000000000242,268.42062
2015-02-06,9.399999999989234,47.40000000000242,268.62704
2015-02-07,9.399999999989234,47.40000000000242,267.5749
2015-02-08,9.399999999989234,47.40000000000242,266.8438
2015-02-09,9.399999999989234,47.40000000000242,267.44965
2015-02-10,9.399999999989234,47.40000000000242,269.004
2015-02-11,9.399999999989234,47.40000000000242,268.66492
2015-02-12,9.399999999989234,47.40000000000242,268.11078
2015-02-13,9.399999999989234,47.40000000000242,268.3458
2015-02-14,9.399999999989234,47.40000000000242,269.61722
2015-02-15,9.399999999989234,47.40000000000242,269.64584
2015-02-16,9.399999999989234,47.40000000000242,268.93274
2015-02-17,9.399999999989234,47.40000000000242,268.33624
2015-02-18,9.399999999989234,47.40000000000242,270.3705
2015-02-19,9.399999999989234,47.40000000000242,268.23767
2015-02-20,9.399999999989234,47.40000000000242,267.21735
2015-02-21,9.399999999989234,47.40000000000242,270.85895
2015-02-22,9.399999999989234,47.40000000000242,272.23315
2015-02-23,9.399999999989234,47.40000000000242,268.9666
2015-02-24,9.399999999989234,47.40000000000242,274.21872
2015-02-25,9.399999999989234,47.40000000000242,271.65698
2015-02-26,9.399999999989234,47.40000000000242,269.00494
2015-02-27,9.399999999989234,47.40000000000242,269.5527
2015-02-28,9.399999999989234,47.40000000000242,272.92944
2015-03-01,9.399999999989234,47.40000000000242,270.60077
2015-03-02,9.399999999989234,47.40000000000242,278.26862
2015-03-03,9.399999999989234,47.40000000000242,273.8154
2015-03-04,9.399999999989234,47.40000000000242,276.54074
2015-03-05,9.399999999989234,47.40000000000242,271.6499
2015-03-06,9.399999999989234,47.40000000000242,271.60434
2015-03-07,9.399999999989234,47.40000000000242,271.7444
2015-03-08,9.399999999989234,47.40000000000242,273.40466
2015-03-09,9.399999999989234,47.40000000000242,275.35336
2015-03-10,9.399999999989234,47.40000000000242,275.223
2015-03-11,9.399999999989234,47.40000000000242,278.58408
2015-03-12,9.399999999989234,47.40000000000242,274.01978
2015-03-13,9.399999999989234,47.40000000000242,273.66376
2015-03-14,9.399999999989234,47.40000000000242,273.6767
2015-03-15,9.399999999989234,47.40000000000242,273.697
2015-03-16,9.399999999989234,47.40000000000242,275.7705
2015-03-17,9.399999999989234,47.40000000000242,277.52106
2015-03-18,9.399999999989234,47.40000000000242,279.9995
2015-03-19,9.399999999989234,47.40000000000242,279.3873
2015-03-20,9.399999999989234,47.40000000000242,277.24066
2015-03-21,9.399999999989234,47.40000000000242,277.00992
2015-03-22,9.399999999989234,47.40000000000242,274.69925
2015-03-23,9.399999999989234,47.40000000000242,276.12134
2015-03-24,9.399999999989234,47.40000000000242,275.26224
2015-03-25,9.399999999989234,47.40000000000242,278.18887
2015-03-26,9.399999999989234,47.40000000000242,277.1497
2015-03-27,9.399999999989234,47.40000000000242,276.27258
2015-03-28,9.399999999989234,47.40000000000242,275.75253
2015-03-29,9.399999999989234,47.40000000000242,279.43146
2015-03-30,9.399999999989234,47.40000000000242,280.39474
2015-03-31,9.399999999989234,47.40000000000242,279.7052
2015-04-01,9.399999999989234,47.40000000000242,277.55667
2015-04-02,9.399999999989234,47.40000000000242,275.48972
2015-04-03,9.399999999989234,47.40000000000242,273.70883
2015-04-04,9.399999999989234,47.40000000000242,276.3549
2015-04-05,9.399999999989234,47.40000000000242,273.50388
2015-04-06,9.399999999989234,47.40000000000242,272.87045
2015-04-07,9.399999999989234,47.40000000000242,272.58353
2015-04-08,9.399999999989234,47.40000000000242,274.1033
2015-04-09,9.399999999989234,47.40000000000242,277.46436
