time,lon,lat,Temperature_Air_2m_Mean_Day_Time
2015-01-01,9.399999999989234,47.40000000000242,-3.621099999999956
2015-01-02,9.399999999989234,47.40000000000242,-1.2243399999999838
2015-01-03,9.399999999989234,47.40000000000242,2.878720000000044
2015-01-04,9.399999999989234,47.40000000000242,2.1035700000000475
2015-01-05,9.399999999989234,47.40000000000242,0.6118000000000166
2015-01-06,9.399999999989234,47.40000000000242,0.9439000000000419
2015-01-07,9.399999999989234,47.40000000000242,2.21610000000004
2015-01-08,9.399999999989234,47.40000000000242,4.873530000000017
2015-01-09,9.399999999989234,47.40000000000242,7.158140000000003
2015-01-10,9.399999999989234,47.40000000000242,13.117430000000013
2015-01-11,9.399999999989234,47.40000000000242,2.8016000000000076
2015-01-12,9.399999999989234,47.40000000000242,4.158100000000047
2015-01-13,9.399999999989234,47.40000000000242,4.612500000000011
2015-01-14,9.399999999989234,47.40000000000242,4.5951500000000465
2015-01-15,9.399999999989234,47.40000000000242,4.65634
2015-01-16,9.399999999989234,47.40000000000242,4.99860000000001
2015-01-17,9.399999999989234,47.40000000000242,0.40447000000000344
2015-01-18,9.399999999989234,47.40000000000242,-0.4975599999999645
2015-01-19,9.399999999989234,47.40000000000242,-0.956519999999955
2015-01-20,9.399999999989234,47.40000000000242,0.48724000000004253
2015-01-21,9.399999999989234,47.40000000000242,0.09518000000002758
2015-01-22,9.399999999989234,47.40000000000242,-1.0822499999999877
2015-01-23,9.399999999989234,47.40000000000242,-0.47479999999995925
2015-01-24,9.399999999989234,47.40000000000242,0.22442000000000917
2015-01-25,9.399999999989234,47.40000000000242,-0.5042199999999752
2015-01-26,9.399999999989234,47.40000000000242,-1.9135200000000054
2015-01-27,9.399999999989234,47.40000000000242,0.9275000000000091
2015-01-28,9.399999999989234,47.40000000000242,-0.005129999999951451
2015-01-29,9.399999999989234,47.40000000000242,1.1021000000000072
2015-01-30,9.399999999989234,47.40000000000242,-0.02166999999997188
2015-01-31,9.399999999989234,47.40000000000242,0.1472400000000107
2015-02-01,9.399999999989234,47.40000000000242,-0.663029999999992
2015-02-02,9.399999999989234,47.40000000000242,-0.16509999999999536
2015-02-03,9.399999999989234,47.40000000000242,-4.233339999999998
2015-02-04,9.399999999989234,47.40000000000242,-3.9114999999999895
2015-02-05,9.399999999989234,47.40000000000242,-3.7297399999999925
2015-02-06,9.399999999989234,47.40000000000242,-3.744419999999991
2015-02-07,9.399999999989234,47.40000000000242,-4.9950999999999794
2015-02-08,9.399999999989234,47.40000000000242,-3.031129999999962
2015-02-09,9.399999999989234,47.40000000000242,-2.257849999999962
2015-02-10,9.399999999989234,47.40000000000242,-1.1785600000000045
2015-02-11,9.399999999989234,47.40000000000242,-1.350779999999986
2015-02-12,9.399999999989234,47.40000000000242,-1.2913999999999533
2015-02-13,9.399999999989234,47.40000000000242,-1.573099999999954
2015-02-14,9.399999999989234,47.40000000000242,0.564200000000028
2015-02-15,9.399999999989234,47.40000000000242,-2.1709999999999923
2015-02-16,9.399999999989234,47.40000000000242,-2.1671199999999544
2015-02-17,9.399999999989234,47.40000000000242,-1.7711999999999648
2015-02-18,9.399999999989234,47.40000000000242,-2.004579999999976
2015-02-19,9.399999999989234,47.40000000000242,-1.4046699999999532
2015-02-20,9.399999999989234,47.40000000000242,1.9954800000000432
2015-02-21,9.399999999989234,47.40000000000242,1.5551000000000386
2015-02-22,9.399999999989234,47.40000000000242,-0.3380499999999529
2015-02-23,9.399999999989234,47.40000000000242,-0.25827999999995654
2015-02-24,9.399999999989234,47.40000000000242,2.336150000000032
2015-02-25,9.399999999989234,47.40000000000242,2.0589200000000005
2015-02-26,9.399999999989234,47.40000000000242,0.7573500000000308
2015-02-27,9.399999999989234,47.40000000000242,0.10277999999999565
2015-02-28,9.399999999989234,47.40000000000242,1.728270000000009
2015-03-01,9.399999999989234,47.40000000000242,3.3742000000000303
2015-03-02,9.399999999989234,47.40000000000242,5.126640000000009
2015-03-03,9.399999999989234,47.40000000000242,4.508360000000039
2015-03-04,9.399999999989234,47.40000000000242,2.0848000000000297
2015-03-05,9.399999999989234,47.40000000000242,1.5145200000000045
2015-03-06,9.399999999989234,47.40000000000242,1.9467400000000339
2015-03-07,9.399999999989234,47.40000000000242,3.8725500000000466
2015-03-08,9.399999999989234,47.40000000000242,5.844840000000033
2015-03-09,9.399999999989234,47.40000000000242,7.136500000000012
2015-03-10,9.399999999989234,47.40000000000242,8.01180000000005
2015-03-11,9.399999999989234,47.40000000000242,5.588250000000016
2015-03-12,9.399999999989234,47.40000000000242,4.0418300000000045
2015-03-13,9.399999999989234,47.40000000000242,3.395650000000046
2015-03-14,9.399999999989234,47.40000000000242,3.006280000000004
2015-03-15,9.399999999989234,47.40000000000242,3.930750000000046
2015-03-16,9.399999999989234,47.40000000000242,7.3309300000000235
2015-03-17,9.399999999989234,47.40000000000242,8.848749999999995
2015-03-18,9.399999999989234,47.40000000000242,10.874750000000006
2015-03-19,9.399999999989234,47.40000000000242,8.76740000000001
2015-03-20,9.399999999989234,47.40000000000242,7.3868700000000445
2015-03-21,9.399999999989234,47.40000000000242,5.793970000000002
2015-03-22,9.399999999989234,47.40000000000242,3.158929999999998
2015-03-23,9.399999999989234,47.40000000000242,6.426500000000033
2015-03-24,9.399999999989234,47.40000000000242,8.824180000000013
2015-03-25,9.399999999989234,47.40000000000242,7.848900000000015
2015-03-26,9.399999999989234,47.40000000000242,3.959440000000029
2015-03-27,9.399999999989234,47.40000000000242,5.829740000000015
2015-03-28,9.399999999989234,47.40000000000242,7.431849999999997
