time,lon,lat,Vapour_Pressure_Mean
2015-01-01,9.399999999989234,47.40000000000242,3.6661017
2015-01-02,9.399999999989234,47.40000000000242,4.944601
2015-01-03,9.399999999989234,47.40000000000242,7.21693
2015-01-04,9.399999999989234,47.40000000000242,5.0289683
2015-01-05,9.399999999989234,47.40000000000242,4.6121616
2015-01-06,9.399999999989234,47.40000000000242,4.9065933
2015-01-07,9.399999999989234,47.40000000000242,4.8795166
2015-01-08,9.399999999989234,47.40000000000242,5.622137
2015-01-09,9.399999999989234,47.40000000000242,7.5339475
2015-01-10,9.399999999989234,47.40000000000242,9.133992
2015-01-11,9.399999999989234,47.40000000000242,5.59172
2015-01-12,9.399999999989234,47.40000000000242,4.424665
2015-01-13,9.399999999989234,47.40000000000242,4.495002
2015-01-14,9.399999999989234,47.40000000000242,6.1632495
2015-01-15,9.399999999989234,47.40000000000242,5.327465
2015-01-16,9.399999999989234,47.40000000000242,6.313667
2015-01-17,9.399999999989234,47.40000000000242,5.6435175
2015-01-18,9.399999999989234,47.40000000000242,4.903031
2015-01-19,9.399999999989234,47.40000000000242,4.573895
2015-01-20,9.399999999989234,47.40000000000242,5.0924215
2015-01-21,9.399999999989234,47.40000000000242,4.3248396
2015-01-22,9.399999999989234,47.40000000000242,4.512095
2015-01-23,9.399999999989234,47.40000000000242,4.9137025
2015-01-24,9.399999999989234,47.40000000000242,4.767554
2015-01-25,9.399999999989234,47.40000000000242,4.3312426
2015-01-26,9.399999999989234,47.40000000000242,4.3431015
2015-01-27,9.399999999989234,47.40000000000242,5.1420474
2015-01-28,9.399999999989234,47.40000000000242,4.7349653
2015-01-29,9.399999999989234,47.40000000000242,5.4970727
2015-01-30,9.399999999989234,47.40000000000242,4.2888923
2015-01-31,9.399999999989234,47.40000000000242,4.554094
2015-02-01,9.399999999989234,47.40000000000242,4.4274316
2015-02-02,9.399999999989234,47.40000000000242,4.6731286
2015-02-03,9.399999999989234,47.40000000000242,3.3188179
2015-02-04,9.399999999989234,47.40000000000242,3.19429
2015-02-05,9.399999999989234,47.40000000000242,3.4378526
2015-02-06,9.399999999989234,47.40000000000242,3.1769195
2015-02-07,9.399999999989234,47.40000000000242,2.855374
2015-02-08,9.399999999989234,47.40000000000242,3.4399686
2015-02-09,9.399999999989234,47.40000000000242,3.383625
2015-02-10,9.399999999989234,47.40000000000242,3.831796
2015-02-11,9.399999999989234,47.40000000000242,4.0948634
2015-02-12,9.399999999989234,47.40000000000242,3.8999803
2015-02-13,9.399999999989234,47.40000000000242,3.8631232
2015-02-14,9.399999999989234,47.40000000000242,4.4282312
2015-02-15,9.399999999989234,47.40000000000242,4.106686
2015-02-16,9.399999999989234,47.40000000000242,3.9994917
2015-02-17,9.399999999989234,47.40000000000242,4.1748514
2015-02-18,9.399999999989234,47.40000000000242,4.155365
2015-02-19,9.399999999989234,47.40000000000242,3.541522
2015-02-20,9.399999999989234,47.40000000000242,3.5707335
2015-02-21,9.399999999989234,47.40000000000242,4.8957963
2015-02-22,9.399999999989234,47.40000000000242,4.9250073
2015-02-23,9.399999999989234,47.40000000000242,5.1880565
2015-02-24,9.399999999989234,47.40000000000242,4.9639435
2015-02-25,9.399999999989234,47.40000000000242,4.68898
2015-02-26,9.399999999989234,47.40000000000242,3.6951509
2015-02-27,9.399999999989234,47.40000000000242,5.293024
2015-02-28,9.399999999989234,47.40000000000242,5.1663437
2015-03-01,9.399999999989234,47.40000000000242,6.8595157
2015-03-02,9.399999999989234,47.40000000000242,6.50874
2015-03-03,9.399999999989234,47.40000000000242,4.979032
2015-03-04,9.399999999989234,47.40000000000242,5.3471227
2015-03-05,9.399999999989234,47.40000000000242,4.353275
2015-03-06,9.399999999989234,47.40000000000242,4.2947974
2015-03-07,9.399999999989234,47.40000000000242,4.8772388
2015-03-08,9.399999999989234,47.40000000000242,5.500788
2015-03-09,9.399999999989234,47.40000000000242,5.732455
2015-03-10,9.399999999989234,47.40000000000242,5.8201256
2015-03-11,9.399999999989234,47.40000000000242,5.954378
2015-03-12,9.399999999989234,47.40000000000242,4.3933067
2015-03-13,9.399999999989234,47.40000000000242,4.6660805
2015-03-14,9.399999999989234,47.40000000000242,4.8977656
2015-03-15,9.399999999989234,47.40000000000242,5.5289054
2015-03-16,9.399999999989234,47.40000000000242,5.772468
2015-03-17,9.399999999989234,47.40000000000242,6.384139
2015-03-18,9.399999999989234,47.40000000000242,6.489144
2015-03-19,9.399999999989234,47.40000000000242,6.1459775
2015-03-20,9.399999999989234,47.40000000000242,5.834157
2015-03-21,9.399999999989234,47.40000000000242,7.069396
2015-03-22,9.399999999989234,47.40000000000242,6.2877655
2015-03-23,9.399999999989234,47.40000000000242,6.616883
2015-03-24,9.399999999989234,47.40000000000242,6.585482
2015-03-25,9.399999999989234,47.40000000000242,7.1484375
2015-03-26,9.399999999989234,47.40000000000242,6.824739
2015-03-27,9.399999999989234,47.40000000000242,6.3646536
2015-03-28,9.399999999989234,47.40000000000242,6.3527393
2015-03-29,9.399999999989234,47.40000000000242,8.455128
2015-03-30,9.399999999989234,47.40000000000242,7.800159
2015-03-31,9.399999999989234,47.40000000000242,7.4472303
2015-04-01,9.399999999989234,47.40000000000242,5.3307943
2015-04-02,9.399999999989234,47.40000000000242,6.293204
2015-04-03,9.399999999989234,47.40000000000242,6.1546273
2015-04-04,9.399999999989234,47.40000000000242,6.423151
2015-04-05,9.399999999989234,47.40000000000242,4.4333577
2015-04-06,9.399999999989234,47.40000000000242,4.538381
2015-04-07,9.399999999989234,47.40000000000242,4.2439127
