time,lon,lat,Temperature_Air_2m_Max_24h
2015-01-01,9.399999999989234,47.40000000000242,-0.03552999999999429
2015-01-02,9.399999999989234,47.40000000000242,4.23660000000001
2015-01-03,9.399999999989234,47.40000000000242,7.716520000000003
2015-01-04,9.399999999989234,47.40000000000242,7.120420000000024
2015-01-05,9.399999999989234,47.40000000000242,3.911980000000028
2015-01-06,9.399999999989234,47.40000000000242,5.698970000000031
2015-01-07,9.399999999989234,47.40000000000242,3.6276000000000295
2015-01-08,9.399999999989234,47.40000000000242,6.893799999999999
2015-01-09,9.399999999989234,47.40000000000242,8.781500000000051
2015-01-10,9.399999999989234,47.40000000000242,12.162070000000028
2015-01-11,9.399999999989234,47.40000000000242,8.363240000000019
2015-01-12,9.399999999989234,47.40000000000242,7.049599999999998
2015-01-13,9.399999999989234,47.40000000000242,7.0040800000000445
2015-01-14,9.399999999989234,47.40000000000242,4.335230000000024
2015-01-15,9.399999999989234,47.40000000000242,9.137230000000045
2015-01-16,9.399999999989234,47.40000000000242,7.215050000000019
2015-01-17,9.399999999989234,47.40000000000242,2.698720000000037
2015-01-18,9.399999999989234,47.40000000000242,2.2447400000000357
2015-01-19,9.399999999989234,47.40000000000242,2.2116300000000138
2015-01-20,9.399999999989234,47.40000000000242,2.607720000000029
2015-01-21,9.399999999989234,47.40000000000242,2.4407300000000305
2015-01-22,9.399999999989234,47.40000000000242,1.7549700000000144
2015-01-23,9.399999999989234,47.40000000000242,0.23022000000003118
2015-01-24,9.399999999989234,47.40000000000242,0.9685000000000059
2015-01-25,9.399999999989234,47.40000000000242,-0.04846999999995205
2015-01-26,9.399999999989234,47.40000000000242,0.7631200000000149
2015-01-27,9.399999999989234,47.40000000000242,1.357870000000048
2015-01-28,9.399999999989234,47.40000000000242,1.290300000000002
2015-01-29,9.399999999989234,47.40000000000242,2.9006600000000162
2015-01-30,9.399999999989234,47.40000000000242,0.08038000000004786
2015-01-31,9.399999999989234,47.40000000000242,1.646569999999997
2015-02-01,9.399999999989234,47.40000000000242,0.26534000000003743
2015-02-02,9.399999999989234,47.40000000000242,-1.1198499999999854
2015-02-03,9.399999999989234,47.40000000000242,-2.57974999999999
2015-02-04,9.399999999989234,47.40000000000242,-1.907699999999977
2015-02-05,9.399999999989234,47.40000000000242,-3.1493999999999573
2015-02-06,9.399999999989234,47.40000000000242,-2.0909999999999513
2015-02-07,9.399999999989234,47.40000000000242,-2.296329999999955
2015-02-08,9.399999999989234,47.40000000000242,-1.149599999999964
2015-02-09,9.399999999989234,47.40000000000242,-0.5698600000000056
2015-02-10,9.399999999989234,47.40000000000242,2.372280000000046
2015-02-11,9.399999999989234,47.40000000000242,5.339070000000049
2015-02-12,9.399999999989234,47.40000000000242,6.437700000000007
2015-02-13,9.399999999989234,47.40000000000242,5.868040000000008
2015-02-14,9.399999999989234,47.40000000000242,4.530970000000025
2015-02-15,9.399999999989234,47.40000000000242,2.2957400000000234
2015-02-16,9.399999999989234,47.40000000000242,3.5475400000000263
2015-02-17,9.399999999989234,47.40000000000242,3.2331500000000233
2015-02-18,9.399999999989234,47.40000000000242,1.7512000000000398
2015-02-19,9.399999999989234,47.40000000000242,5.278400000000033
2015-02-20,9.399999999989234,47.40000000000242,9.301020000000051
2015-02-21,9.399999999989234,47.40000000000242,3.709950000000049
2015-02-22,9.399999999989234,47.40000000000242,1.8376400000000217
2015-02-23,9.399999999989234,47.40000000000242,2.71550000000002
2015-02-24,9.399999999989234,47.40000000000242,3.5588600000000383
2015-02-25,9.399999999989234,47.40000000000242,4.33734000000004
2015-02-26,9.399999999989234,47.40000000000242,5.092340000000036
2015-02-27,9.399999999989234,47.40000000000242,1.5655800000000113
2015-02-28,9.399999999989234,47.40000000000242,4.020620000000008
2015-03-01,9.399999999989234,47.40000000000242,6.3432300000000055
2015-03-02,9.399999999989234,47.40000000000242,7.121700000000033
2015-03-03,9.399999999989234,47.40000000000242,6.883230000000026
2015-03-04,9.399999999989234,47.40000000000242,4.194060000000036
2015-03-05,9.399999999989234,47.40000000000242,2.5951800000000276
2015-03-06,9.399999999989234,47.40000000000242,4.332700000000045
2015-03-07,9.399999999989234,47.40000000000242,7.451440000000048
2015-03-08,9.399999999989234,47.40000000000242,11.109770000000026
2015-03-09,9.399999999989234,47.40000000000242,9.564720000000023
2015-03-10,9.399999999989234,47.40000000000242,12.517899999999997
2015-03-11,9.399999999989234,47.40000000000242,5.5676200000000335
2015-03-12,9.399999999989234,47.40000000000242,6.47723000000002
2015-03-13,9.399999999989234,47.40000000000242,6.10232000000002
2015-03-14,9.399999999989234,47.40000000000242,6.891840000000002
2015-03-15,9.399999999989234,47.40000000000242,9.166300000000035
2015-03-16,9.399999999989234,47.40000000000242,12.283720000000017
2015-03-17,9.399999999989234,47.40000000000242,15.568080000000009
2015-03-18,9.399999999989234,47.40000000000242,15.447080000000028
2015-03-19,9.399999999989234,47.40000000000242,11.002679999999998
2015-03-20,9.399999999989234,47.40000000000242,10.881680000000017
2015-03-21,9.399999999989234,47.40000000000242,8.5471
2015-03-22,9.399999999989234,47.40000000000242,7.167660000000012
2015-03-23,9.399999999989234,47.40000000000242,10.527919999999995
2015-03-24,9.399999999989234,47.40000000000242,13.874570000000006
2015-03-25,9.399999999989234,47.40000000000242,11.185420000000022
2015-03-26,9.399999999989234,47.40000000000242,6.251340000000027
2015-03-27,9.399999999989234,47.40000000000242,8.132380000000012
2015-03-28,9.399999999989234,47.40000000000242,10.364040000000045
2015-03-29,9.399999999989234,47.40000000000242,9.507380000000012
