Unnamed: 0,time,lon,lat,Temperature_Air_2m_Min_Night_Time
14489,2015-01-01,29.09999999998812,-2.499999999994742,13.327780000000018
29288,2015-01-02,29.09999999998812,-2.499999999994742,13.74368000000004
44087,2015-01-03,29.09999999998812,-2.499999999994742,13.52648000000005
58886,2015-01-04,29.09999999998812,-2.499999999994742,13.528300000000002
73685,2015-01-05,29.09999999998812,-2.499999999994742,13.329700000000004
88484,2015-01-06,29.09999999998812,-2.499999999994742,13.678950000000045
103283,2015-01-07,29.09999999998812,-2.499999999994742,13.38793000000004
118082,2015-01-08,29.09999999998812,-2.499999999994742,13.47470000000004
132881,2015-01-09,29.09999999998812,-2.499999999994742,13.751950000000022
147680,2015-01-10,29.09999999998812,-2.499999999994742,13.788000000000013
162479,2015-01-11,29.09999999998812,-2.499999999994742,13.73983000000004
177278,2015-01-12,29.09999999998812,-2.499999999994742,13.732450000000028
192077,2015-01-13,29.09999999998812,-2.499999999994742,13.724970000000042
206876,2015-01-14,29.09999999998812,-2.499999999994742,13.740660000000048
221675,2015-01-15,29.09999999998812,-2.499999999994742,13.833060000000046
236474,2015-01-16,29.09999999998812,-2.499999999994742,13.825600000000009
251273,2015-01-17,29.09999999998812,-2.499999999994742,13.91052000000002
266072,2015-01-18,29.09999999998812,-2.499999999994742,14.012080000000026
280871,2015-01-19,29.09999999998812,-2.499999999994742,14.05645000000004
295670,2015-01-20,29.09999999998812,-2.499999999994742,13.688530000000014
310469,2015-01-21,29.09999999998812,-2.499999999994742,13.70324000000005
325268,2015-01-22,29.09999999998812,-2.499999999994742,13.546040000000003
340067,2015-01-23,29.09999999998812,-2.499999999994742,13.627280000000042
354866,2015-01-24,29.09999999998812,-2.499999999994742,13.545860000000005
369665,2015-01-25,29.09999999998812,-2.499999999994742,13.368340000000046
384464,2015-01-26,29.09999999998812,-2.499999999994742,13.685140000000048
399263,2015-01-27,29.09999999998812,-2.499999999994742,13.686900000000035
414062,2015-01-28,29.09999999998812,-2.499999999994742,13.8125
428861,2015-01-29,29.09999999998812,-2.499999999994742,13.400230000000022
443660,2015-01-30,29.09999999998812,-2.499999999994742,13.613550000000032
458459,2015-01-31,29.09999999998812,-2.499999999994742,13.91473000000002
473258,2015-02-01,29.09999999998812,-2.499999999994742,13.35644000000002
488057,2015-02-02,29.09999999998812,-2.499999999994742,13.460700000000031
502856,2015-02-03,29.09999999998812,-2.499999999994742,13.626860000000022
517655,2015-02-04,29.09999999998812,-2.499999999994742,13.628630000000044
532454,2015-02-05,29.09999999998812,-2.499999999994742,13.601650000000006
547253,2015-02-06,29.09999999998812,-2.499999999994742,14.106130000000007
562052,2015-02-07,29.09999999998812,-2.499999999994742,13.480220000000031
576851,2015-02-08,29.09999999998812,-2.499999999994742,13.886770000000013
591650,2015-02-09,29.09999999998812,-2.499999999994742,13.748900000000049
606449,2015-02-10,29.09999999998812,-2.499999999994742,13.753350000000012
621248,2015-02-11,29.09999999998812,-2.499999999994742,14.013800000000003
636047,2015-02-12,29.09999999998812,-2.499999999994742,13.748379999999996
650846,2015-02-13,29.09999999998812,-2.499999999994742,13.965300000000012
665645,2015-02-14,29.09999999998812,-2.499999999994742,13.590000000000032
680444,2015-02-15,29.09999999998812,-2.499999999994742,13.54638
695243,2015-02-16,29.09999999998812,-2.499999999994742,13.491600000000004
710042,2015-02-17,29.09999999998812,-2.499999999994742,13.67162000000002
724841,2015-02-18,29.09999999998812,-2.499999999994742,13.743520000000046
739640,2015-02-19,29.09999999998812,-2.499999999994742,13.74612000000002
754439,2015-02-20,29.09999999998812,-2.499999999994742,13.987099999999998
769238,2015-02-21,29.09999999998812,-2.499999999994742,13.912040000000047
784037,2015-02-22,29.09999999998812,-2.499999999994742,13.620660000000044
798836,2015-02-23,29.09999999998812,-2.499999999994742,13.822900000000004
813635,2015-02-24,29.09999999998812,-2.499999999994742,13.457570000000032
828434,2015-02-25,29.09999999998812,-2.499999999994742,13.779930000000036
843233,2015-02-26,29.09999999998812,-2.499999999994742,13.281550000000038
858032,2015-02-27,29.09999999998812,-2.499999999994742,13.481930000000034
872831,2015-02-28,29.09999999998812,-2.499999999994742,13.794950000000028
887630,2015-03-01,29.09999999998812,-2.499999999994742,13.340940000000046
902429,2015-03-02,29.09999999998812,-2.499999999994742,13.48956000000004
917228,2015-03-03,29.09999999998812,-2.499999999994742,13.863580000000011
932027,2015-03-04,29.09999999998812,-2.499999999994742,13.897500000000036
946826,2015-03-05,29.09999999998812,-2.499999999994742,13.838099999999995
961625,2015-03-06,29.09999999998812,-2.499999999994742,13.94595000000004
976424,2015-03-07,29.09999999998812,-2.499999999994742,13.368200000000002
991223,2015-03-08,29.09999999998812,-2.499999999994742,13.962150000000008
1006022,2015-03-09,29.09999999998812,-2.499999999994742,14.137400000000014
1020821,2015-03-10,29.09999999998812,-2.499999999994742,14.082700000000044
1035620,2015-03-11,29.09999999998812,-2.499999999994742,14.009420000000034
1050419,2015-03-12,29.09999999998812,-2.499999999994742,13.426020000000053
1065218,2015-03-13,29.09999999998812,-2.499999999994742,13.884060000000034
1080017,2015-03-14,29.09999999998812,-2.499999999994742,13.882960000000026
1094816,2015-03-15,29.09999999998812,-2.499999999994742,13.810540000000003
1109615,2015-03-16,29.09999999998812,-2.499999999994742,13.901760000000024
1124414,2015-03-17,29.09999999998812,-2.499999999994742,13.85632000000004
1139213,2015-03-18,29.09999999998812,-2.499999999994742,13.863370000000032
1154012,2015-03-19,29.09999999998812,-2.499999999994742,13.904700000000048
