Unnamed: 0,time,lon,lat,Temperature_Air_2m_Mean_24h
14489,2015-01-01,29.09999999998812,-2.499999999994742,17.34190000000001
29288,2015-01-02,29.09999999998812,-2.499999999994742,17.81716
44087,2015-01-03,29.09999999998812,-2.499999999994742,17.86500000000001
58886,2015-01-04,29.09999999998812,-2.499999999994742,17.279750000000035
73685,2015-01-05,29.09999999998812,-2.499999999994742,17.012260000000026
88484,2015-01-06,29.09999999998812,-2.499999999994742,17.04373000000004
103283,2015-01-07,29.09999999998812,-2.499999999994742,17.10327000000001
118082,2015-01-08,29.09999999998812,-2.499999999994742,17.56683000000004
132881,2015-01-09,29.09999999998812,-2.499999999994742,17.604120000000023
147680,2015-01-10,29.09999999998812,-2.499999999994742,17.36584000000005
162479,2015-01-11,29.09999999998812,-2.499999999994742,16.523680000000013
177278,2015-01-12,29.09999999998812,-2.499999999994742,17.37847000000005
192077,2015-01-13,29.09999999998812,-2.499999999994742,17.450800000000015
206876,2015-01-14,29.09999999998812,-2.499999999994742,17.516170000000045
221675,2015-01-15,29.09999999998812,-2.499999999994742,18.09655000000004
236474,2015-01-16,29.09999999998812,-2.499999999994742,17.713400000000036
251273,2015-01-17,29.09999999998812,-2.499999999994742,17.99597
266072,2015-01-18,29.09999999998812,-2.499999999994742,17.803250000000048
280871,2015-01-19,29.09999999998812,-2.499999999994742,17.706230000000005
295670,2015-01-20,29.09999999998812,-2.499999999994742,17.264700000000005
310469,2015-01-21,29.09999999998812,-2.499999999994742,16.963300000000004
325268,2015-01-22,29.09999999998812,-2.499999999994742,16.60354000000001
340067,2015-01-23,29.09999999998812,-2.499999999994742,17.82623000000001
354866,2015-01-24,29.09999999998812,-2.499999999994742,16.98535000000004
369665,2015-01-25,29.09999999998812,-2.499999999994742,16.724850000000004
384464,2015-01-26,29.09999999998812,-2.499999999994742,17.539900000000046
399263,2015-01-27,29.09999999998812,-2.499999999994742,18.410000000000025
414062,2015-01-28,29.09999999998812,-2.499999999994742,17.98013000000003
428861,2015-01-29,29.09999999998812,-2.499999999994742,17.526940000000025
443660,2015-01-30,29.09999999998812,-2.499999999994742,17.58062000000001
458459,2015-01-31,29.09999999998812,-2.499999999994742,17.89820000000003
473258,2015-02-01,29.09999999998812,-2.499999999994742,17.536159999999995
488057,2015-02-02,29.09999999998812,-2.499999999994742,17.52203000000003
502856,2015-02-03,29.09999999998812,-2.499999999994742,17.580399999999997
517655,2015-02-04,29.09999999998812,-2.499999999994742,17.12136000000004
532454,2015-02-05,29.09999999998812,-2.499999999994742,17.992580000000032
547253,2015-02-06,29.09999999998812,-2.499999999994742,18.14666
562052,2015-02-07,29.09999999998812,-2.499999999994742,18.147800000000014
576851,2015-02-08,29.09999999998812,-2.499999999994742,17.70983000000001
591650,2015-02-09,29.09999999998812,-2.499999999994742,17.74825000000004
606449,2015-02-10,29.09999999998812,-2.499999999994742,17.264700000000005
621248,2015-02-11,29.09999999998812,-2.499999999994742,18.03552000000002
636047,2015-02-12,29.09999999998812,-2.499999999994742,17.960720000000038
650846,2015-02-13,29.09999999998812,-2.499999999994742,17.753900000000044
665645,2015-02-14,29.09999999998812,-2.499999999994742,16.91885000000002
680444,2015-02-15,29.09999999998812,-2.499999999994742,16.890800000000013
695243,2015-02-16,29.09999999998812,-2.499999999994742,17.370750000000044
710042,2015-02-17,29.09999999998812,-2.499999999994742,17.08575000000002
724841,2015-02-18,29.09999999998812,-2.499999999994742,17.675530000000037
739640,2015-02-19,29.09999999998812,-2.499999999994742,17.594899999999996
754439,2015-02-20,29.09999999998812,-2.499999999994742,17.25735000000003
769238,2015-02-21,29.09999999998812,-2.499999999994742,17.264340000000004
784037,2015-02-22,29.09999999998812,-2.499999999994742,17.39974000000001
798836,2015-02-23,29.09999999998812,-2.499999999994742,16.53665000000001
813635,2015-02-24,29.09999999998812,-2.499999999994742,16.41512
828434,2015-02-25,29.09999999998812,-2.499999999994742,17.009640000000047
843233,2015-02-26,29.09999999998812,-2.499999999994742,16.77720000000005
858032,2015-02-27,29.09999999998812,-2.499999999994742,17.823570000000018
872831,2015-02-28,29.09999999998812,-2.499999999994742,15.985280000000046
887630,2015-03-01,29.09999999998812,-2.499999999994742,16.597280000000012
902429,2015-03-02,29.09999999998812,-2.499999999994742,17.526880000000006
917228,2015-03-03,29.09999999998812,-2.499999999994742,17.498829999999998
932027,2015-03-04,29.09999999998812,-2.499999999994742,17.322500000000048
946826,2015-03-05,29.09999999998812,-2.499999999994742,17.60504000000003
961625,2015-03-06,29.09999999998812,-2.499999999994742,17.734640000000013
976424,2015-03-07,29.09999999998812,-2.499999999994742,17.324760000000026
991223,2015-03-08,29.09999999998812,-2.499999999994742,18.207640000000023
1006022,2015-03-09,29.09999999998812,-2.499999999994742,18.57552000000004
1020821,2015-03-10,29.09999999998812,-2.499999999994742,18.162040000000047
1035620,2015-03-11,29.09999999998812,-2.499999999994742,18.19012000000004
1050419,2015-03-12,29.09999999998812,-2.499999999994742,17.149560000000008
1065218,2015-03-13,29.09999999998812,-2.499999999994742,17.76495
1080017,2015-03-14,29.09999999998812,-2.499999999994742,17.58280000000002
1094816,2015-03-15,29.09999999998812,-2.499999999994742,18.20178000000004
1109615,2015-03-16,29.09999999998812,-2.499999999994742,18.53576000000004
1124414,2015-03-17,29.09999999998812,-2.499999999994742,18.014920000000014
1139213,2015-03-18,29.09999999998812,-2.499999999994742,17.699580000000026
1154012,2015-03-19,29.09999999998812,-2.499999999994742,17.70428000000004
1168811,2015-03-20,29.09999999998812,-2.499999999994742,18.14450000000005
