Unnamed: 0,time,lon,lat,Temperature_Air_2m_Min_24h
14773,2015-01-01,30.699999999988023,-2.0999999999947647,16.321200000000033
29572,2015-01-02,30.699999999988023,-2.0999999999947647,16.548460000000034
44371,2015-01-03,30.699999999988023,-2.0999999999947647,16.492400000000032
59170,2015-01-04,30.699999999988023,-2.0999999999947647,15.897520000000045
73969,2015-01-05,30.699999999988023,-2.0999999999947647,16.474050000000034
88768,2015-01-06,30.699999999988023,-2.0999999999947647,16.760199999999998
103567,2015-01-07,30.699999999988023,-2.0999999999947647,16.110770000000002
118366,2015-01-08,30.699999999988023,-2.0999999999947647,16.42138
133165,2015-01-09,30.699999999988023,-2.0999999999947647,16.280880000000025
147964,2015-01-10,30.699999999988023,-2.0999999999947647,16.293480000000045
162763,2015-01-11,30.699999999988023,-2.0999999999947647,16.62545
177562,2015-01-12,30.699999999988023,-2.0999999999947647,17.186180000000036
192361,2015-01-13,30.699999999988023,-2.0999999999947647,16.967219999999998
207160,2015-01-14,30.699999999988023,-2.0999999999947647,16.75424000000004
221959,2015-01-15,30.699999999988023,-2.0999999999947647,16.55486000000002
236758,2015-01-16,30.699999999988023,-2.0999999999947647,17.135220000000004
251557,2015-01-17,30.699999999988023,-2.0999999999947647,16.85740000000004
266356,2015-01-18,30.699999999988023,-2.0999999999947647,17.02905000000004
281155,2015-01-19,30.699999999988023,-2.0999999999947647,17.104300000000023
295954,2015-01-20,30.699999999988023,-2.0999999999947647,17.174650000000042
310753,2015-01-21,30.699999999988023,-2.0999999999947647,17.19106000000005
325552,2015-01-22,30.699999999988023,-2.0999999999947647,16.82498000000004
340351,2015-01-23,30.699999999988023,-2.0999999999947647,16.12050000000005
355150,2015-01-24,30.699999999988023,-2.0999999999947647,16.674650000000042
369949,2015-01-25,30.699999999988023,-2.0999999999947647,16.097680000000025
384748,2015-01-26,30.699999999988023,-2.0999999999947647,16.103200000000015
399547,2015-01-27,30.699999999988023,-2.0999999999947647,15.990400000000022
414346,2015-01-28,30.699999999988023,-2.0999999999947647,16.350099999999998
429145,2015-01-29,30.699999999988023,-2.0999999999947647,16.37140000000005
443944,2015-01-30,30.699999999988023,-2.0999999999947647,16.50762000000003
458743,2015-01-31,30.699999999988023,-2.0999999999947647,16.210170000000005
473542,2015-02-01,30.699999999988023,-2.0999999999947647,16.749600000000044
488341,2015-02-02,30.699999999988023,-2.0999999999947647,16.97580000000005
503140,2015-02-03,30.699999999988023,-2.0999999999947647,16.735500000000002
517939,2015-02-04,30.699999999988023,-2.0999999999947647,17.01180000000005
532738,2015-02-05,30.699999999988023,-2.0999999999947647,16.481100000000026
547537,2015-02-06,30.699999999988023,-2.0999999999947647,16.77215000000001
562336,2015-02-07,30.699999999988023,-2.0999999999947647,16.677880000000016
577135,2015-02-08,30.699999999988023,-2.0999999999947647,16.89855
591934,2015-02-09,30.699999999988023,-2.0999999999947647,16.815800000000024
606733,2015-02-10,30.699999999988023,-2.0999999999947647,16.868650000000002
621532,2015-02-11,30.699999999988023,-2.0999999999947647,16.363550000000032
636331,2015-02-12,30.699999999988023,-2.0999999999947647,16.671400000000006
651130,2015-02-13,30.699999999988023,-2.0999999999947647,16.43664000000001
665929,2015-02-14,30.699999999988023,-2.0999999999947647,16.892700000000048
680728,2015-02-15,30.699999999988023,-2.0999999999947647,16.35217
695527,2015-02-16,30.699999999988023,-2.0999999999947647,16.645320000000027
710326,2015-02-17,30.699999999988023,-2.0999999999947647,16.727599999999995
725125,2015-02-18,30.699999999988023,-2.0999999999947647,16.158749999999998
739924,2015-02-19,30.699999999988023,-2.0999999999947647,16.39303000000001
754723,2015-02-20,30.699999999988023,-2.0999999999947647,16.686180000000036
769522,2015-02-21,30.699999999988023,-2.0999999999947647,16.626250000000027
784321,2015-02-22,30.699999999988023,-2.0999999999947647,17.076300000000003
799120,2015-02-23,30.699999999988023,-2.0999999999947647,16.76138000000003
813919,2015-02-24,30.699999999988023,-2.0999999999947647,16.529800000000023
828718,2015-02-25,30.699999999988023,-2.0999999999947647,16.188620000000014
843517,2015-02-26,30.699999999988023,-2.0999999999947647,16.02080000000001
858316,2015-02-27,30.699999999988023,-2.0999999999947647,16.71610000000004
873115,2015-02-28,30.699999999988023,-2.0999999999947647,16.50410000000005
887914,2015-03-01,30.699999999988023,-2.0999999999947647,15.643150000000048
902713,2015-03-02,30.699999999988023,-2.0999999999947647,16.78958
917512,2015-03-03,30.699999999988023,-2.0999999999947647,16.67568
932311,2015-03-04,30.699999999988023,-2.0999999999947647,16.05993000000001
947110,2015-03-05,30.699999999988023,-2.0999999999947647,16.54812000000004
961909,2015-03-06,30.699999999988023,-2.0999999999947647,16.42935
976708,2015-03-07,30.699999999988023,-2.0999999999947647,16.691370000000006
991507,2015-03-08,30.699999999988023,-2.0999999999947647,16.29305000000005
1006306,2015-03-09,30.699999999988023,-2.0999999999947647,16.69622000000004
1021105,2015-03-10,30.699999999988023,-2.0999999999947647,16.24395000000004
1035904,2015-03-11,30.699999999988023,-2.0999999999947647,16.505980000000022
1050703,2015-03-12,30.699999999988023,-2.0999999999947647,16.684630000000027
1065502,2015-03-13,30.699999999988023,-2.0999999999947647,16.76092
1080301,2015-03-14,30.699999999988023,-2.0999999999947647,17.027829999999994
1095100,2015-03-15,30.699999999988023,-2.0999999999947647,17.122029999999995
1109899,2015-03-16,30.699999999988023,-2.0999999999947647,16.355950000000007
1124698,2015-03-17,30.699999999988023,-2.0999999999947647,16.814099999999996
1139497,2015-03-18,30.699999999988023,-2.0999999999947647,17.276100000000042
