Unnamed: 0,time,lon,lat,Cloud_Cover_Mean
14773,2017-01-01,30.699999999988023,-2.0999999999947647,0.7577029
29572,2017-01-02,30.699999999988023,-2.0999999999947647,0.6157388
44371,2017-01-03,30.699999999988023,-2.0999999999947647,0.55520433
59170,2017-01-04,30.699999999988023,-2.0999999999947647,0.70961756
73969,2017-01-05,30.699999999988023,-2.0999999999947647,0.3286014
88768,2017-01-06,30.699999999988023,-2.0999999999947647,0.31822047
103567,2017-01-07,30.699999999988023,-2.0999999999947647,0.21974482
118366,2017-01-08,30.699999999988023,-2.0999999999947647,0.24649777
133165,2017-01-09,30.699999999988023,-2.0999999999947647,0.35801288
147964,2017-01-10,30.699999999988023,-2.0999999999947647,0.43229052
162763,2017-01-11,30.699999999988023,-2.0999999999947647,0.7425047
177562,2017-01-12,30.699999999988023,-2.0999999999947647,0.50447685
192361,2017-01-13,30.699999999988023,-2.0999999999947647,0.40529746
207160,2017-01-14,30.699999999988023,-2.0999999999947647,0.494913
221959,2017-01-15,30.699999999988023,-2.0999999999947647,0.57655954
236758,2017-01-16,30.699999999988023,-2.0999999999947647,0.52420115
251557,2017-01-17,30.699999999988023,-2.0999999999947647,0.7422744
266356,2017-01-18,30.699999999988023,-2.0999999999947647,0.84883255
281155,2017-01-19,30.699999999988023,-2.0999999999947647,0.62775713
295954,2017-01-20,30.699999999988023,-2.0999999999947647,0.5406866
310753,2017-01-21,30.699999999988023,-2.0999999999947647,0.5109315
325552,2017-01-22,30.699999999988023,-2.0999999999947647,0.56836027
340351,2017-01-23,30.699999999988023,-2.0999999999947647,0.34163404
355150,2017-01-24,30.699999999988023,-2.0999999999947647,0.5273035
369949,2017-01-25,30.699999999988023,-2.0999999999947647,0.7970413
384748,2017-01-26,30.699999999988023,-2.0999999999947647,0.48404193
399547,2017-01-27,30.699999999988023,-2.0999999999947647,0.534092
414346,2017-01-28,30.699999999988023,-2.0999999999947647,0.55680865
429145,2017-01-29,30.699999999988023,-2.0999999999947647,0.5827543
443944,2017-01-30,30.699999999988023,-2.0999999999947647,0.5215062
458743,2017-01-31,30.699999999988023,-2.0999999999947647,0.7290851
473542,2017-02-01,30.699999999988023,-2.0999999999947647,0.6338286
488341,2017-02-02,30.699999999988023,-2.0999999999947647,0.85039085
503140,2017-02-03,30.699999999988023,-2.0999999999947647,0.8358602
517939,2017-02-04,30.699999999988023,-2.0999999999947647,0.7407171
532738,2017-02-05,30.699999999988023,-2.0999999999947647,0.59874314
547537,2017-02-06,30.699999999988023,-2.0999999999947647,0.36717334
562336,2017-02-07,30.699999999988023,-2.0999999999947647,0.28493652
577135,2017-02-08,30.699999999988023,-2.0999999999947647,0.37615675
591934,2017-02-09,30.699999999988023,-2.0999999999947647,0.46436492
606733,2017-02-10,30.699999999988023,-2.0999999999947647,0.63399273
621532,2017-02-11,30.699999999988023,-2.0999999999947647,0.8487235
636331,2017-02-12,30.699999999988023,-2.0999999999947647,0.8181512
651130,2017-02-13,30.699999999988023,-2.0999999999947647,0.63754225
665929,2017-02-14,30.699999999988023,-2.0999999999947647,0.84985125
680728,2017-02-15,30.699999999988023,-2.0999999999947647,0.6505619
695527,2017-02-16,30.699999999988023,-2.0999999999947647,0.7782123
710326,2017-02-17,30.699999999988023,-2.0999999999947647,0.8340167
725125,2017-02-18,30.699999999988023,-2.0999999999947647,0.80011183
739924,2017-02-19,30.699999999988023,-2.0999999999947647,0.7671178
754723,2017-02-20,30.699999999988023,-2.0999999999947647,0.8237294
769522,2017-02-21,30.699999999988023,-2.0999999999947647,0.8561233
784321,2017-02-22,30.699999999988023,-2.0999999999947647,0.65521944
799120,2017-02-23,30.699999999988023,-2.0999999999947647,0.58912784
813919,2017-02-24,30.699999999988023,-2.0999999999947647,0.722429
828718,2017-02-25,30.699999999988023,-2.0999999999947647,0.79345787
843517,2017-02-26,30.699999999988023,-2.0999999999947647,0.5360459
858316,2017-02-27,30.699999999988023,-2.0999999999947647,0.79770124
873115,2017-02-28,30.699999999988023,-2.0999999999947647,0.67752326
887914,2017-03-01,30.699999999988023,-2.0999999999947647,0.65329564
902713,2017-03-02,30.699999999988023,-2.0999999999947647,0.66550803
917512,2017-03-03,30.699999999988023,-2.0999999999947647,0.68498576
932311,2017-03-04,30.699999999988023,-2.0999999999947647,0.6300823
947110,2017-03-05,30.699999999988023,-2.0999999999947647,0.45753607
961909,2017-03-06,30.699999999988023,-2.0999999999947647,0.561776
976708,2017-03-07,30.699999999988023,-2.0999999999947647,0.6142379
991507,2017-03-08,30.699999999988023,-2.0999999999947647,0.8500609
1006306,2017-03-09,30.699999999988023,-2.0999999999947647,0.8356239
1021105,2017-03-10,30.699999999988023,-2.0999999999947647,0.6589378
1035904,2017-03-11,30.699999999988023,-2.0999999999947647,0.58062387
1050703,2017-03-12,30.699999999988023,-2.0999999999947647,0.7331859
1065502,2017-03-13,30.699999999988023,-2.0999999999947647,0.5283493
1080301,2017-03-14,30.699999999988023,-2.0999999999947647,0.53883374
1095100,2017-03-15,30.699999999988023,-2.0999999999947647,0.8029009
1109899,2017-03-16,30.699999999988023,-2.0999999999947647,0.85951257
1124698,2017-03-17,30.699999999988023,-2.0999999999947647,0.80703086
1139497,2017-03-18,30.699999999988023,-2.0999999999947647,0.76272535
1154296,2017-03-19,30.699999999988023,-2.0999999999947647,0.85070664
1169095,2017-03-20,30.699999999988023,-2.0999999999947647,0.5376974
1183894,2017-03-21,30.699999999988023,-2.0999999999947647,0.5635198
1198693,2017-03-22,30.699999999988023,-2.0999999999947647,0.7533192
