Unnamed: 0,time,lon,lat,Vapour_Pressure_Mean
14489,2015-01-01,29.09999999998812,-2.499999999994742,16.892492
29288,2015-01-02,29.09999999998812,-2.499999999994742,17.258991
44087,2015-01-03,29.09999999998812,-2.499999999994742,16.225157
58886,2015-01-04,29.09999999998812,-2.499999999994742,15.71467
73685,2015-01-05,29.09999999998812,-2.499999999994742,17.150167
88484,2015-01-06,29.09999999998812,-2.499999999994742,17.58722
103283,2015-01-07,29.09999999998812,-2.499999999994742,17.276546
118082,2015-01-08,29.09999999998812,-2.499999999994742,16.840513
132881,2015-01-09,29.09999999998812,-2.499999999994742,16.845432
147680,2015-01-10,29.09999999998812,-2.499999999994742,16.587671
162479,2015-01-11,29.09999999998812,-2.499999999994742,16.041908
177278,2015-01-12,29.09999999998812,-2.499999999994742,16.523054
192077,2015-01-13,29.09999999998812,-2.499999999994742,16.624983
206876,2015-01-14,29.09999999998812,-2.499999999994742,16.7729
221675,2015-01-15,29.09999999998812,-2.499999999994742,16.257494
236474,2015-01-16,29.09999999998812,-2.499999999994742,16.38588
251273,2015-01-17,29.09999999998812,-2.499999999994742,16.038034
266072,2015-01-18,29.09999999998812,-2.499999999994742,14.97975
280871,2015-01-19,29.09999999998812,-2.499999999994742,15.399163
295670,2015-01-20,29.09999999998812,-2.499999999994742,14.971949
310469,2015-01-21,29.09999999998812,-2.499999999994742,14.659381
325268,2015-01-22,29.09999999998812,-2.499999999994742,16.13708
340067,2015-01-23,29.09999999998812,-2.499999999994742,15.859789
354866,2015-01-24,29.09999999998812,-2.499999999994742,14.889693
369665,2015-01-25,29.09999999998812,-2.499999999994742,16.340935
384464,2015-01-26,29.09999999998812,-2.499999999994742,16.590893
399263,2015-01-27,29.09999999998812,-2.499999999994742,15.700169
414062,2015-01-28,29.09999999998812,-2.499999999994742,15.378782
428861,2015-01-29,29.09999999998812,-2.499999999994742,15.657091
443660,2015-01-30,29.09999999998812,-2.499999999994742,15.44354
458459,2015-01-31,29.09999999998812,-2.499999999994742,15.3426285
473258,2015-02-01,29.09999999998812,-2.499999999994742,16.250992
488057,2015-02-02,29.09999999998812,-2.499999999994742,16.40394
502856,2015-02-03,29.09999999998812,-2.499999999994742,16.059998
517655,2015-02-04,29.09999999998812,-2.499999999994742,15.720971
532454,2015-02-05,29.09999999998812,-2.499999999994742,15.78081
547253,2015-02-06,29.09999999998812,-2.499999999994742,16.2355
562052,2015-02-07,29.09999999998812,-2.499999999994742,16.489359
576851,2015-02-08,29.09999999998812,-2.499999999994742,14.9989395
591650,2015-02-09,29.09999999998812,-2.499999999994742,16.263086
606449,2015-02-10,29.09999999998812,-2.499999999994742,14.409192
621248,2015-02-11,29.09999999998812,-2.499999999994742,14.206355
636047,2015-02-12,29.09999999998812,-2.499999999994742,15.659603
650846,2015-02-13,29.09999999998812,-2.499999999994742,16.182951
665645,2015-02-14,29.09999999998812,-2.499999999994742,17.805656
680444,2015-02-15,29.09999999998812,-2.499999999994742,16.630829
695243,2015-02-16,29.09999999998812,-2.499999999994742,16.955238
710042,2015-02-17,29.09999999998812,-2.499999999994742,16.662315
724841,2015-02-18,29.09999999998812,-2.499999999994742,16.979801
739640,2015-02-19,29.09999999998812,-2.499999999994742,17.189564
754439,2015-02-20,29.09999999998812,-2.499999999994742,16.852547
769238,2015-02-21,29.09999999998812,-2.499999999994742,15.748271
784037,2015-02-22,29.09999999998812,-2.499999999994742,16.769386
798836,2015-02-23,29.09999999998812,-2.499999999994742,16.370634
813635,2015-02-24,29.09999999998812,-2.499999999994742,16.756779
828434,2015-02-25,29.09999999998812,-2.499999999994742,15.136081
843233,2015-02-26,29.09999999998812,-2.499999999994742,16.183653
858032,2015-02-27,29.09999999998812,-2.499999999994742,17.28414
872831,2015-02-28,29.09999999998812,-2.499999999994742,17.573275
887630,2015-03-01,29.09999999998812,-2.499999999994742,17.425358
902429,2015-03-02,29.09999999998812,-2.499999999994742,17.000147
917228,2015-03-03,29.09999999998812,-2.499999999994742,16.768957
932027,2015-03-04,29.09999999998812,-2.499999999994742,15.871422
946826,2015-03-05,29.09999999998812,-2.499999999994742,16.53788
961625,2015-03-06,29.09999999998812,-2.499999999994742,15.592349
976424,2015-03-07,29.09999999998812,-2.499999999994742,16.176413
991223,2015-03-08,29.09999999998812,-2.499999999994742,16.262709
1006022,2015-03-09,29.09999999998812,-2.499999999994742,15.927697
1020821,2015-03-10,29.09999999998812,-2.499999999994742,15.035079
1035620,2015-03-11,29.09999999998812,-2.499999999994742,16.00718
1050419,2015-03-12,29.09999999998812,-2.499999999994742,16.203207
1065218,2015-03-13,29.09999999998812,-2.499999999994742,17.028408
1080017,2015-03-14,29.09999999998812,-2.499999999994742,16.906948
1094816,2015-03-15,29.09999999998812,-2.499999999994742,16.113344
1109615,2015-03-16,29.09999999998812,-2.499999999994742,15.079623
1124414,2015-03-17,29.09999999998812,-2.499999999994742,16.616144
1139213,2015-03-18,29.09999999998812,-2.499999999994742,17.656904
1154012,2015-03-19,29.09999999998812,-2.499999999994742,17.632452
1168811,2015-03-20,29.09999999998812,-2.499999999994742,17.408188
1183610,2015-03-21,29.09999999998812,-2.499999999994742,17.701223
1198409,2015-03-22,29.09999999998812,-2.499999999994742,17.55141
1213208,2015-03-23,29.09999999998812,-2.499999999994742,17.63279
1228007,2015-03-24,29.09999999998812,-2.499999999994742,17.738731
1242806,2015-03-25,29.09999999998812,-2.499999999994742,17.687822
1257605,2015-03-26,29.09999999998812,-2.499999999994742,17.476278
