Unnamed: 0,lat,lon,time,cloud cover mean,cloud-cover_monthly-mean_ipsl-cm5a-mr_rcp85_r1i1p1_1950-2100-mean_v1.0,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
0,-2.75,29.25,2015-01-01,0.8338378,0.82895696,9.750168e-08,24.40307000000001,15.19670000000002,19.404200000000003,993.8497
756,-2.75,29.25,2015-02-01,0.86625266,0.8078386,1.1687627e-07,24.8381,15.36886000000004,19.618700000000047,993.79364
1337,-2.75,29.25,2015-03-01,0.853382,0.83671594,7.638545e-08,25.16464000000002,15.222300000000018,19.509550000000047,984.8044
2034,-2.75,29.25,2015-04-01,0.8610495,0.8588144,8.130678e-08,23.91805000000005,15.199330000000032,19.251670000000047,997.48566
2716,-2.75,29.25,2015-05-01,0.6774655,0.73483604,3.947173e-08,23.76095000000004,14.965630000000033,19.03720000000004,973.458
3430,-2.75,29.25,2015-06-01,0.6590605,0.6291597,3.6708219e-09,24.3843,14.747100000000046,19.35555000000005,933.3217
3824,-2.75,29.25,2015-07-01,0.56979215,0.540742,1.428863e-09,24.395620000000008,14.514280000000042,19.13995,880.3284
4177,-2.75,29.25,2015-08-01,0.60583913,0.6165919,2.1125985e-08,25.2534,14.631100000000004,19.53643,907.28754
4855,-2.75,29.25,2015-09-01,0.72702754,0.7181644,4.4165837e-08,25.908650000000023,14.75698,19.730980000000045,916.03107
5386,-2.75,29.25,2015-10-01,0.85337704,0.83209884,5.7629745e-08,24.582060000000013,15.652030000000025,19.520070000000032,979.44727
6248,-2.75,29.25,2015-11-01,0.86062855,0.85690707,8.980436e-08,23.764580000000024,15.339260000000024,19.248800000000017,979.18756
6361,-2.75,29.25,2015-12-01,0.8203808,0.8379715,7.1301955e-08,24.24526000000003,15.243370000000027,19.685630000000003,989.40985
7174,-2.75,29.25,2016-01-01,0.8263843,0.8282985,7.441579e-08,24.435080000000028,15.304470000000038,19.689170000000047,982.9417
7755,-2.75,29.25,2016-02-01,0.87613404,0.8080935,9.461422e-08,24.84893,15.447930000000042,19.73776000000004,990.57513
8450,-2.75,29.25,2016-03-01,0.8675688,0.83651674,1.7199079e-07,24.705100000000016,15.25567000000001,19.35540000000003,992.1132
8853,-2.75,29.25,2016-04-01,0.8755539,0.85911596,7.790729e-08,24.13357000000002,15.222860000000026,19.424680000000023,1013.05304
9432,-2.75,29.25,2016-05-01,0.77465665,0.7355268,4.337003e-08,24.067000000000007,15.100459999999998,19.43887000000001,986.7611
10102,-2.75,29.25,2016-06-01,0.64145964,0.622844,1.7800168e-08,24.425160000000005,14.634900000000016,19.397000000000048,952.8778
10923,-2.75,29.25,2016-07-01,0.5108703,0.53978443,4.6992965e-10,24.48428000000001,13.950900000000049,19.121730000000014,867.56445
10970,-2.75,29.25,2016-08-01,0.61565757,0.6077078,5.563793e-09,25.49120000000005,15.034330000000011,19.950900000000047,912.7473
11828,-2.75,29.25,2016-09-01,0.6898654,0.72055346,1.111726e-08,26.39538000000005,15.769830000000011,21.019740000000013,861.7607
12278,-2.75,29.25,2016-10-01,0.8082509,0.83070296,5.2459857e-08,25.242940000000036,15.316160000000025,19.683100000000024,946.58984
12793,-2.75,29.25,2016-11-01,0.89514214,0.8560185,9.0687976e-08,24.38815,15.42288000000002,19.115200000000016,984.7862
13723,-2.75,29.25,2016-12-01,0.8442074,0.8334646,1.10259414e-07,23.45434,15.174800000000005,19.019040000000015,985.02155
14319,-2.75,29.25,2017-01-01,0.8302301,0.8307456,8.409976e-08,24.61282,15.167300000000012,19.669730000000012,978.3946
14889,-2.75,29.25,2017-02-01,0.8057113,0.80990684,7.8337884e-08,24.96905000000004,15.441640000000008,19.61605000000003,979.93634
15140,-2.75,29.25,2017-03-01,0.7632951,0.8345614,5.3704e-08,24.888540000000035,15.614400000000046,19.87190000000004,981.4526
15550,-2.75,29.25,2017-04-01,0.8246732,0.85561717,8.58756e-08,24.118300000000037,15.231300000000031,19.361260000000016,1005.1695
16627,-2.75,29.25,2017-05-01,0.69440144,0.73903066,3.9407613e-08,24.16158000000001,15.030660000000012,19.36450000000002,985.8562
16965,-2.75,29.25,2017-06-01,0.5814364,0.6184819,4.8701585e-09,24.717100000000016,14.785060000000044,19.449730000000045,941.60785
17251,-2.75,29.25,2017-07-01,0.47079986,0.53432053,5.4670437e-09,24.45660000000004,14.256100000000004,19.11422000000005,924.4925
18261,-2.75,29.25,2017-08-01,0.5997088,0.6147271,1.6686844e-08,25.41640000000001,13.649200000000008,19.38280000000003,899.76825
18837,-2.75,29.25,2017-09-01,0.7483966,0.72174203,3.5410743e-08,26.107320000000016,14.488730000000032,19.767480000000035,920.48083
19305,-2.75,29.25,2017-10-01,0.81468695,0.8305451,5.087718e-08,25.054400000000044,15.577260000000024,19.88630000000001,957.6555
19553,-2.75,29.25,2017-11-01,0.8357105,0.852076,5.7182007e-08,24.059900000000027,15.211970000000008,19.518640000000005,984.6695
20389,-2.75,29.25,2017-12-01,0.8141932,0.835124,7.157602e-08,24.299220000000048,15.233120000000042,19.78228000000001,988.59076
20718,-2.75,29.25,2018-01-01,0.8441496,0.8259774,9.654756e-08,24.47320000000002,15.430000000000009,19.76016000000004,994.55304
21794,-2.75,29.25,2018-02-01,0.74627036,0.80758315,6.979553e-08,24.86996000000005,15.38372000000004,20.047720000000027,982.1768
21901,-2.75,29.25,2018-03-01,0.85596937,0.83353025,7.786749e-08,24.717300000000023,15.77102000000002,20.00192000000004,1004.0512
22959,-2.75,29.25,2018-04-01,0.8569869,0.85474837,7.2403694e-08,24.27245000000005,15.618040000000008,19.673850000000016,1011.46954
23393,-2.75,29.25,2018-05-01,0.7456962,0.7412449,3.7319392e-08,24.33734000000004,15.04970000000003,19.44088000000005,981.8551
24065,-2.75,29.25,2018-06-01,0.5360169,0.6142784,2.5557956e-09,24.532500000000027,14.611440000000016,19.297799999999995,922.66876
24286,-2.75,29.25,2018-07-01,0.5464379,0.53331035,6.6092216e-09,24.711330000000032,14.557280000000048,19.411200000000008,913.6524
25125,-2.75,29.25,2018-08-01,0.63878715,0.6191308,0.0,25.53362000000004,15.408530000000042,20.611140000000034,893.288
25860,-2.75,29.25,2018-09-01,0.73647696,0.7214691,1.4768142e-08,26.676480000000023,16.239400000000046,21.33474000000001,915.67
25907,-2.75,29.25,2018-10-01,0.8073061,0.82928777,4.8532424e-08,25.212760000000003,15.589470000000006,20.4973,935.8544
