Unnamed: 0,time,lon,lat,Precipitation_Flux
14489,2015-01-01,29.09999999998812,-2.499999999994742,0.02
29288,2015-01-02,29.09999999998812,-2.499999999994742,0.32
44087,2015-01-03,29.09999999998812,-2.499999999994742,0.11
58886,2015-01-04,29.09999999998812,-2.499999999994742,0.51
73685,2015-01-05,29.09999999998812,-2.499999999994742,2.06
88484,2015-01-06,29.09999999998812,-2.499999999994742,2.62
103283,2015-01-07,29.09999999998812,-2.499999999994742,1.0
118082,2015-01-08,29.09999999998812,-2.499999999994742,0.38
132881,2015-01-09,29.09999999998812,-2.499999999994742,0.71
147680,2015-01-10,29.09999999998812,-2.499999999994742,0.89
162479,2015-01-11,29.09999999998812,-2.499999999994742,0.13
177278,2015-01-12,29.09999999998812,-2.499999999994742,0.17
192077,2015-01-13,29.09999999998812,-2.499999999994742,0.3
206876,2015-01-14,29.09999999998812,-2.499999999994742,0.81
221675,2015-01-15,29.09999999998812,-2.499999999994742,0.06
236474,2015-01-16,29.09999999998812,-2.499999999994742,0.44
251273,2015-01-17,29.09999999998812,-2.499999999994742,0.04
266072,2015-01-18,29.09999999998812,-2.499999999994742,0.13
280871,2015-01-19,29.09999999998812,-2.499999999994742,0.02
295670,2015-01-20,29.09999999998812,-2.499999999994742,0.05
310469,2015-01-21,29.09999999998812,-2.499999999994742,0.09
325268,2015-01-22,29.09999999998812,-2.499999999994742,1.46
340067,2015-01-23,29.09999999998812,-2.499999999994742,0.07
354866,2015-01-24,29.09999999998812,-2.499999999994742,0.66
369665,2015-01-25,29.09999999998812,-2.499999999994742,0.8
384464,2015-01-26,29.09999999998812,-2.499999999994742,0.32
399263,2015-01-27,29.09999999998812,-2.499999999994742,0.0
414062,2015-01-28,29.09999999998812,-2.499999999994742,0.05
428861,2015-01-29,29.09999999998812,-2.499999999994742,0.09
443660,2015-01-30,29.09999999998812,-2.499999999994742,0.07
458459,2015-01-31,29.09999999998812,-2.499999999994742,0.13
473258,2015-02-01,29.09999999998812,-2.499999999994742,0.06
488057,2015-02-02,29.09999999998812,-2.499999999994742,0.07
502856,2015-02-03,29.09999999998812,-2.499999999994742,0.05
517655,2015-02-04,29.09999999998812,-2.499999999994742,0.04
532454,2015-02-05,29.09999999998812,-2.499999999994742,0.05
547253,2015-02-06,29.09999999998812,-2.499999999994742,0.42
562052,2015-02-07,29.09999999998812,-2.499999999994742,0.01
576851,2015-02-08,29.09999999998812,-2.499999999994742,0.04
591650,2015-02-09,29.09999999998812,-2.499999999994742,0.19
606449,2015-02-10,29.09999999998812,-2.499999999994742,0.28
621248,2015-02-11,29.09999999998812,-2.499999999994742,0.02
636047,2015-02-12,29.09999999998812,-2.499999999994742,0.47
650846,2015-02-13,29.09999999998812,-2.499999999994742,0.19
665645,2015-02-14,29.09999999998812,-2.499999999994742,1.47
680444,2015-02-15,29.09999999998812,-2.499999999994742,1.19
695243,2015-02-16,29.09999999998812,-2.499999999994742,0.21
710042,2015-02-17,29.09999999998812,-2.499999999994742,0.83
724841,2015-02-18,29.09999999998812,-2.499999999994742,0.49
739640,2015-02-19,29.09999999998812,-2.499999999994742,1.21
754439,2015-02-20,29.09999999998812,-2.499999999994742,0.75
769238,2015-02-21,29.09999999998812,-2.499999999994742,0.1
784037,2015-02-22,29.09999999998812,-2.499999999994742,0.21
798836,2015-02-23,29.09999999998812,-2.499999999994742,1.66
813635,2015-02-24,29.09999999998812,-2.499999999994742,0.72
828434,2015-02-25,29.09999999998812,-2.499999999994742,0.12
843233,2015-02-26,29.09999999998812,-2.499999999994742,2.78
858032,2015-02-27,29.09999999998812,-2.499999999994742,0.31
872831,2015-02-28,29.09999999998812,-2.499999999994742,2.19
887630,2015-03-01,29.09999999998812,-2.499999999994742,0.42
902429,2015-03-02,29.09999999998812,-2.499999999994742,0.35
917228,2015-03-03,29.09999999998812,-2.499999999994742,0.71
932027,2015-03-04,29.09999999998812,-2.499999999994742,0.28
946826,2015-03-05,29.09999999998812,-2.499999999994742,0.33
961625,2015-03-06,29.09999999998812,-2.499999999994742,0.11
976424,2015-03-07,29.09999999998812,-2.499999999994742,0.44
991223,2015-03-08,29.09999999998812,-2.499999999994742,0.38
1006022,2015-03-09,29.09999999998812,-2.499999999994742,0.0
1020821,2015-03-10,29.09999999998812,-2.499999999994742,0.2
1035620,2015-03-11,29.09999999998812,-2.499999999994742,0.03
1050419,2015-03-12,29.09999999998812,-2.499999999994742,0.06
1065218,2015-03-13,29.09999999998812,-2.499999999994742,0.12
1080017,2015-03-14,29.09999999998812,-2.499999999994742,0.19
1094816,2015-03-15,29.09999999998812,-2.499999999994742,-0.0
1109615,2015-03-16,29.09999999998812,-2.499999999994742,-0.0
1124414,2015-03-17,29.09999999998812,-2.499999999994742,0.82
1139213,2015-03-18,29.09999999998812,-2.499999999994742,1.43
1154012,2015-03-19,29.09999999998812,-2.499999999994742,1.61
1168811,2015-03-20,29.09999999998812,-2.499999999994742,0.01
1183610,2015-03-21,29.09999999998812,-2.499999999994742,0.29
1198409,2015-03-22,29.09999999998812,-2.499999999994742,24.88
1213208,2015-03-23,29.09999999998812,-2.499999999994742,1.58
1228007,2015-03-24,29.09999999998812,-2.499999999994742,5.29
1242806,2015-03-25,29.09999999998812,-2.499999999994742,2.41
1257605,2015-03-26,29.09999999998812,-2.499999999994742,1.71
1272404,2015-03-27,29.09999999998812,-2.499999999994742,8.34
1287203,2015-03-28,29.09999999998812,-2.499999999994742,32.5
1302002,2015-03-29,29.09999999998812,-2.499999999994742,18.85
