Unnamed: 0,time,lon,lat,Precipitation_Flux
14773,2015-01-01,30.699999999988023,-2.0999999999947647,2.84
29572,2015-01-02,30.699999999988023,-2.0999999999947647,0.57
44371,2015-01-03,30.699999999988023,-2.0999999999947647,2.7
59170,2015-01-04,30.699999999988023,-2.0999999999947647,0.12
73969,2015-01-05,30.699999999988023,-2.0999999999947647,0.07
88768,2015-01-06,30.699999999988023,-2.0999999999947647,0.67
103567,2015-01-07,30.699999999988023,-2.0999999999947647,0.16
118366,2015-01-08,30.699999999988023,-2.0999999999947647,0.18
133165,2015-01-09,30.699999999988023,-2.0999999999947647,0.2
147964,2015-01-10,30.699999999988023,-2.0999999999947647,0.29
162763,2015-01-11,30.699999999988023,-2.0999999999947647,0.08
177562,2015-01-12,30.699999999988023,-2.0999999999947647,0.06
192361,2015-01-13,30.699999999988023,-2.0999999999947647,0.07
207160,2015-01-14,30.699999999988023,-2.0999999999947647,0.03
221959,2015-01-15,30.699999999988023,-2.0999999999947647,0.0
236758,2015-01-16,30.699999999988023,-2.0999999999947647,0.07
251557,2015-01-17,30.699999999988023,-2.0999999999947647,0.0
266356,2015-01-18,30.699999999988023,-2.0999999999947647,0.17
281155,2015-01-19,30.699999999988023,-2.0999999999947647,0.1
295954,2015-01-20,30.699999999988023,-2.0999999999947647,4.74
310753,2015-01-21,30.699999999988023,-2.0999999999947647,4.56
325552,2015-01-22,30.699999999988023,-2.0999999999947647,8.98
340351,2015-01-23,30.699999999988023,-2.0999999999947647,1.21
355150,2015-01-24,30.699999999988023,-2.0999999999947647,11.74
369949,2015-01-25,30.699999999988023,-2.0999999999947647,1.56
384748,2015-01-26,30.699999999988023,-2.0999999999947647,0.15
399547,2015-01-27,30.699999999988023,-2.0999999999947647,0.02
414346,2015-01-28,30.699999999988023,-2.0999999999947647,0.14
429145,2015-01-29,30.699999999988023,-2.0999999999947647,0.08
443944,2015-01-30,30.699999999988023,-2.0999999999947647,1.44
458743,2015-01-31,30.699999999988023,-2.0999999999947647,0.37
473542,2015-02-01,30.699999999988023,-2.0999999999947647,0.17
488341,2015-02-02,30.699999999988023,-2.0999999999947647,0.09
503140,2015-02-03,30.699999999988023,-2.0999999999947647,1.68
517939,2015-02-04,30.699999999988023,-2.0999999999947647,9.22
532738,2015-02-05,30.699999999988023,-2.0999999999947647,0.37
547537,2015-02-06,30.699999999988023,-2.0999999999947647,0.77
562336,2015-02-07,30.699999999988023,-2.0999999999947647,0.09
577135,2015-02-08,30.699999999988023,-2.0999999999947647,0.09
591934,2015-02-09,30.699999999988023,-2.0999999999947647,0.47
606733,2015-02-10,30.699999999988023,-2.0999999999947647,3.62
621532,2015-02-11,30.699999999988023,-2.0999999999947647,0.31
636331,2015-02-12,30.699999999988023,-2.0999999999947647,0.16
651130,2015-02-13,30.699999999988023,-2.0999999999947647,0.04
665929,2015-02-14,30.699999999988023,-2.0999999999947647,4.74
680728,2015-02-15,30.699999999988023,-2.0999999999947647,2.99
695527,2015-02-16,30.699999999988023,-2.0999999999947647,2.67
710326,2015-02-17,30.699999999988023,-2.0999999999947647,4.25
725125,2015-02-18,30.699999999988023,-2.0999999999947647,2.51
739924,2015-02-19,30.699999999988023,-2.0999999999947647,3.9
754723,2015-02-20,30.699999999988023,-2.0999999999947647,1.89
769522,2015-02-21,30.699999999988023,-2.0999999999947647,0.44
784321,2015-02-22,30.699999999988023,-2.0999999999947647,0.18
799120,2015-02-23,30.699999999988023,-2.0999999999947647,6.67
813919,2015-02-24,30.699999999988023,-2.0999999999947647,9.91
828718,2015-02-25,30.699999999988023,-2.0999999999947647,6.66
843517,2015-02-26,30.699999999988023,-2.0999999999947647,0.28
858316,2015-02-27,30.699999999988023,-2.0999999999947647,0.25
873115,2015-02-28,30.699999999988023,-2.0999999999947647,8.24
887914,2015-03-01,30.699999999988023,-2.0999999999947647,1.44
902713,2015-03-02,30.699999999988023,-2.0999999999947647,0.41
917512,2015-03-03,30.699999999988023,-2.0999999999947647,2.85
932311,2015-03-04,30.699999999988023,-2.0999999999947647,0.55
947110,2015-03-05,30.699999999988023,-2.0999999999947647,0.68
961909,2015-03-06,30.699999999988023,-2.0999999999947647,0.1
976708,2015-03-07,30.699999999988023,-2.0999999999947647,0.47
991507,2015-03-08,30.699999999988023,-2.0999999999947647,0.15
1006306,2015-03-09,30.699999999988023,-2.0999999999947647,0.04
1021105,2015-03-10,30.699999999988023,-2.0999999999947647,0.29
1035904,2015-03-11,30.699999999988023,-2.0999999999947647,0.19
1050703,2015-03-12,30.699999999988023,-2.0999999999947647,0.54
1065502,2015-03-13,30.699999999988023,-2.0999999999947647,0.37
1080301,2015-03-14,30.699999999988023,-2.0999999999947647,1.32
1095100,2015-03-15,30.699999999988023,-2.0999999999947647,0.3
1109899,2015-03-16,30.699999999988023,-2.0999999999947647,-0.0
1124698,2015-03-17,30.699999999988023,-2.0999999999947647,0.09
1139497,2015-03-18,30.699999999988023,-2.0999999999947647,4.17
1154296,2015-03-19,30.699999999988023,-2.0999999999947647,0.64
1169095,2015-03-20,30.699999999988023,-2.0999999999947647,0.04
1183894,2015-03-21,30.699999999988023,-2.0999999999947647,3.69
1198693,2015-03-22,30.699999999988023,-2.0999999999947647,7.6
1213492,2015-03-23,30.699999999988023,-2.0999999999947647,18.07
1228291,2015-03-24,30.699999999988023,-2.0999999999947647,14.69
1243090,2015-03-25,30.699999999988023,-2.0999999999947647,4.38
1257889,2015-03-26,30.699999999988023,-2.0999999999947647,3.16
1272688,2015-03-27,30.699999999988023,-2.0999999999947647,9.52
