Unnamed: 0,time,lon,lat,Temperature_Air_2m_Max_Day_Time
14773,2015-01-01,30.699999999988023,-2.0999999999947647,26.09340000000003
29572,2015-01-02,30.699999999988023,-2.0999999999947647,26.564630000000022
44371,2015-01-03,30.699999999988023,-2.0999999999947647,26.08227000000005
59170,2015-01-04,30.699999999988023,-2.0999999999947647,26.39294000000001
73969,2015-01-05,30.699999999988023,-2.0999999999947647,26.01977000000005
88768,2015-01-06,30.699999999988023,-2.0999999999947647,26.023000000000025
103567,2015-01-07,30.699999999988023,-2.0999999999947647,26.445430000000044
118366,2015-01-08,30.699999999988023,-2.0999999999947647,26.830870000000004
133165,2015-01-09,30.699999999988023,-2.0999999999947647,26.241300000000024
147964,2015-01-10,30.699999999988023,-2.0999999999947647,26.211330000000032
162763,2015-01-11,30.699999999988023,-2.0999999999947647,25.39100000000002
177562,2015-01-12,30.699999999988023,-2.0999999999947647,26.61102
192361,2015-01-13,30.699999999988023,-2.0999999999947647,26.69225
207160,2015-01-14,30.699999999988023,-2.0999999999947647,28.05068
221959,2015-01-15,30.699999999988023,-2.0999999999947647,28.241100000000017
236758,2015-01-16,30.699999999988023,-2.0999999999947647,27.518950000000014
251557,2015-01-17,30.699999999988023,-2.0999999999947647,28.43478000000005
266356,2015-01-18,30.699999999988023,-2.0999999999947647,27.54560000000004
281155,2015-01-19,30.699999999988023,-2.0999999999947647,27.486400000000003
295954,2015-01-20,30.699999999988023,-2.0999999999947647,26.756500000000017
310753,2015-01-21,30.699999999988023,-2.0999999999947647,26.27612000000005
325552,2015-01-22,30.699999999988023,-2.0999999999947647,25.21078
340351,2015-01-23,30.699999999988023,-2.0999999999947647,26.51660000000004
355150,2015-01-24,30.699999999988023,-2.0999999999947647,24.24682000000001
369949,2015-01-25,30.699999999988023,-2.0999999999947647,25.54485
384748,2015-01-26,30.699999999988023,-2.0999999999947647,26.2131
399547,2015-01-27,30.699999999988023,-2.0999999999947647,27.71070000000003
414346,2015-01-28,30.699999999988023,-2.0999999999947647,27.5111
429145,2015-01-29,30.699999999988023,-2.0999999999947647,27.358400000000017
443944,2015-01-30,30.699999999988023,-2.0999999999947647,27.025000000000038
458743,2015-01-31,30.699999999988023,-2.0999999999947647,27.176450000000045
473542,2015-02-01,30.699999999988023,-2.0999999999947647,27.73803000000004
488341,2015-02-02,30.699999999988023,-2.0999999999947647,28.82748000000004
503140,2015-02-03,30.699999999988023,-2.0999999999947647,26.947720000000004
517939,2015-02-04,30.699999999988023,-2.0999999999947647,25.94476000000003
532738,2015-02-05,30.699999999988023,-2.0999999999947647,27.701750000000004
547537,2015-02-06,30.699999999988023,-2.0999999999947647,27.626980000000003
562336,2015-02-07,30.699999999988023,-2.0999999999947647,27.980000000000015
577135,2015-02-08,30.699999999988023,-2.0999999999947647,27.925400000000025
591934,2015-02-09,30.699999999988023,-2.0999999999947647,25.81692000000004
606733,2015-02-10,30.699999999988023,-2.0999999999947647,27.37112000000002
621532,2015-02-11,30.699999999988023,-2.0999999999947647,27.753300000000024
636331,2015-02-12,30.699999999988023,-2.0999999999947647,26.87393000000003
651130,2015-02-13,30.699999999988023,-2.0999999999947647,28.056970000000035
665929,2015-02-14,30.699999999988023,-2.0999999999947647,27.21460000000002
680728,2015-02-15,30.699999999988023,-2.0999999999947647,26.44442000000004
695527,2015-02-16,30.699999999988023,-2.0999999999947647,25.40905000000004
710326,2015-02-17,30.699999999988023,-2.0999999999947647,25.62948
725125,2015-02-18,30.699999999988023,-2.0999999999947647,26.22225000000003
739924,2015-02-19,30.699999999988023,-2.0999999999947647,26.8639
754723,2015-02-20,30.699999999988023,-2.0999999999947647,26.29650000000004
769522,2015-02-21,30.699999999988023,-2.0999999999947647,26.91473000000002
784321,2015-02-22,30.699999999988023,-2.0999999999947647,27.36913000000004
799120,2015-02-23,30.699999999988023,-2.0999999999947647,26.427400000000038
813919,2015-02-24,30.699999999988023,-2.0999999999947647,25.29843
828718,2015-02-25,30.699999999988023,-2.0999999999947647,25.492200000000025
843517,2015-02-26,30.699999999988023,-2.0999999999947647,26.49260000000004
858316,2015-02-27,30.699999999988023,-2.0999999999947647,26.892420000000016
873115,2015-02-28,30.699999999988023,-2.0999999999947647,25.155050000000017
887914,2015-03-01,30.699999999988023,-2.0999999999947647,26.22244000000001
902713,2015-03-02,30.699999999988023,-2.0999999999947647,26.528650000000027
917512,2015-03-03,30.699999999988023,-2.0999999999947647,25.337300000000027
932311,2015-03-04,30.699999999988023,-2.0999999999947647,25.710470000000043
947110,2015-03-05,30.699999999988023,-2.0999999999947647,25.97970000000004
961909,2015-03-06,30.699999999988023,-2.0999999999947647,26.80853000000002
976708,2015-03-07,30.699999999988023,-2.0999999999947647,26.939900000000023
991507,2015-03-08,30.699999999988023,-2.0999999999947647,27.40994000000001
1006306,2015-03-09,30.699999999988023,-2.0999999999947647,28.175100000000043
1021105,2015-03-10,30.699999999988023,-2.0999999999947647,27.46734000000004
1035904,2015-03-11,30.699999999988023,-2.0999999999947647,28.18374
1050703,2015-03-12,30.699999999988023,-2.0999999999947647,27.70672000000002
1065502,2015-03-13,30.699999999988023,-2.0999999999947647,26.486170000000016
1080301,2015-03-14,30.699999999988023,-2.0999999999947647,27.58474000000001
1095100,2015-03-15,30.699999999988023,-2.0999999999947647,28.373350000000016
1109899,2015-03-16,30.699999999988023,-2.0999999999947647,28.515770000000032
1124698,2015-03-17,30.699999999988023,-2.0999999999947647,28.116750000000025
1139497,2015-03-18,30.699999999988023,-2.0999999999947647,26.370400000000014
