Unnamed: 0,time,lon,lat,Temperature_Air_2m_Mean_Day_Time
14710,2015-01-01,30.39999999998804,-1.199999999994816,22.103880000000004
29509,2015-01-02,30.39999999998804,-1.199999999994816,22.70300000000003
44308,2015-01-03,30.39999999998804,-1.199999999994816,22.729150000000004
59107,2015-01-04,30.39999999998804,-1.199999999994816,22.145440000000008
73906,2015-01-05,30.39999999998804,-1.199999999994816,21.95060000000001
88705,2015-01-06,30.39999999998804,-1.199999999994816,22.26653000000005
103504,2015-01-07,30.39999999998804,-1.199999999994816,22.1062
118303,2015-01-08,30.39999999998804,-1.199999999994816,22.15276
133102,2015-01-09,30.39999999998804,-1.199999999994816,22.16480000000001
147901,2015-01-10,30.39999999998804,-1.199999999994816,21.969930000000037
162700,2015-01-11,30.39999999998804,-1.199999999994816,21.38622000000004
177499,2015-01-12,30.39999999998804,-1.199999999994816,21.92318
192298,2015-01-13,30.39999999998804,-1.199999999994816,22.563750000000027
207097,2015-01-14,30.39999999998804,-1.199999999994816,22.94213000000002
221896,2015-01-15,30.39999999998804,-1.199999999994816,22.91274000000004
236695,2015-01-16,30.39999999998804,-1.199999999994816,22.406800000000032
251494,2015-01-17,30.39999999998804,-1.199999999994816,23.068050000000028
266293,2015-01-18,30.39999999998804,-1.199999999994816,23.30978000000005
281092,2015-01-19,30.39999999998804,-1.199999999994816,22.54827
295891,2015-01-20,30.39999999998804,-1.199999999994816,22.028500000000008
310690,2015-01-21,30.39999999998804,-1.199999999994816,22.32372000000004
325489,2015-01-22,30.39999999998804,-1.199999999994816,21.00967000000003
340288,2015-01-23,30.39999999998804,-1.199999999994816,21.96102000000002
355087,2015-01-24,30.39999999998804,-1.199999999994816,20.77307000000002
369886,2015-01-25,30.39999999998804,-1.199999999994816,20.702230000000043
384685,2015-01-26,30.39999999998804,-1.199999999994816,21.805229999999995
399484,2015-01-27,30.39999999998804,-1.199999999994816,22.813600000000008
414283,2015-01-28,30.39999999998804,-1.199999999994816,23.44036
429082,2015-01-29,30.39999999998804,-1.199999999994816,23.093230000000005
443881,2015-01-30,30.39999999998804,-1.199999999994816,22.65090000000004
458680,2015-01-31,30.39999999998804,-1.199999999994816,22.22090000000003
473479,2015-02-01,30.39999999998804,-1.199999999994816,22.9323
488278,2015-02-02,30.39999999998804,-1.199999999994816,22.992400000000032
503077,2015-02-03,30.39999999998804,-1.199999999994816,23.23412000000002
517876,2015-02-04,30.39999999998804,-1.199999999994816,21.947720000000004
532675,2015-02-05,30.39999999998804,-1.199999999994816,23.135370000000023
547474,2015-02-06,30.39999999998804,-1.199999999994816,23.22338000000002
562273,2015-02-07,30.39999999998804,-1.199999999994816,23.71346
577072,2015-02-08,30.39999999998804,-1.199999999994816,23.271420000000035
591871,2015-02-09,30.39999999998804,-1.199999999994816,23.13812000000001
606670,2015-02-10,30.39999999998804,-1.199999999994816,22.82012000000003
621469,2015-02-11,30.39999999998804,-1.199999999994816,23.07565
636268,2015-02-12,30.39999999998804,-1.199999999994816,23.15133000000003
651067,2015-02-13,30.39999999998804,-1.199999999994816,22.479300000000023
665866,2015-02-14,30.39999999998804,-1.199999999994816,23.239070000000027
680665,2015-02-15,30.39999999998804,-1.199999999994816,21.95410000000004
695464,2015-02-16,30.39999999998804,-1.199999999994816,22.18862000000001
710263,2015-02-17,30.39999999998804,-1.199999999994816,21.58053000000001
725062,2015-02-18,30.39999999998804,-1.199999999994816,21.849900000000048
739861,2015-02-19,30.39999999998804,-1.199999999994816,22.51263
754660,2015-02-20,30.39999999998804,-1.199999999994816,21.35890000000001
769459,2015-02-21,30.39999999998804,-1.199999999994816,22.049300000000017
784258,2015-02-22,30.39999999998804,-1.199999999994816,22.518640000000005
799057,2015-02-23,30.39999999998804,-1.199999999994816,21.49615
813856,2015-02-24,30.39999999998804,-1.199999999994816,21.01928000000004
828655,2015-02-25,30.39999999998804,-1.199999999994816,21.36608000000001
843454,2015-02-26,30.39999999998804,-1.199999999994816,22.35345000000001
858253,2015-02-27,30.39999999998804,-1.199999999994816,23.39605
873052,2015-02-28,30.39999999998804,-1.199999999994816,20.72980000000001
887851,2015-03-01,30.39999999998804,-1.199999999994816,21.47717
902650,2015-03-02,30.39999999998804,-1.199999999994816,22.08465000000001
917449,2015-03-03,30.39999999998804,-1.199999999994816,22.17416000000003
932248,2015-03-04,30.39999999998804,-1.199999999994816,22.34136000000001
947047,2015-03-05,30.39999999998804,-1.199999999994816,21.601740000000007
961846,2015-03-06,30.39999999998804,-1.199999999994816,22.292100000000005
976645,2015-03-07,30.39999999998804,-1.199999999994816,22.79086000000001
991444,2015-03-08,30.39999999998804,-1.199999999994816,23.16354000000001
1006243,2015-03-09,30.39999999998804,-1.199999999994816,23.074900000000014
1021042,2015-03-10,30.39999999998804,-1.199999999994816,23.26800000000003
1035841,2015-03-11,30.39999999998804,-1.199999999994816,23.462850000000003
1050640,2015-03-12,30.39999999998804,-1.199999999994816,22.61483000000004
1065439,2015-03-13,30.39999999998804,-1.199999999994816,22.766170000000045
1080238,2015-03-14,30.39999999998804,-1.199999999994816,23.09915000000001
1095037,2015-03-15,30.39999999998804,-1.199999999994816,23.376580000000047
1109836,2015-03-16,30.39999999998804,-1.199999999994816,23.59730000000002
1124635,2015-03-17,30.39999999998804,-1.199999999994816,23.833600000000047
1139434,2015-03-18,30.39999999998804,-1.199999999994816,22.83330000000001
1154233,2015-03-19,30.39999999998804,-1.199999999994816,23.152500000000032
1169032,2015-03-20,30.39999999998804,-1.199999999994816,22.820340000000044
