Unnamed: 0,lat,lon,time,cloud cover mean,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
393,-1.25,30.25,2015-01-01,0.6952592,2.5933799e-08,25.87368000000004,15.71914000000004,20.52722,1015.0437
755,-1.25,30.25,2015-02-01,0.7406408,4.18584e-08,26.597770000000025,16.449270000000013,21.004200000000026,995.4248
1195,-1.25,30.25,2015-03-01,0.7303013,4.3714792e-08,26.77538000000004,15.683860000000038,20.70962000000003,1018.7251
2120,-1.25,30.25,2015-04-01,0.839958,4.363884e-08,25.188000000000045,16.485070000000007,20.26750000000004,1056.9175
2384,-1.25,30.25,2015-05-01,0.7152699,3.130824e-08,25.31310000000002,15.901640000000045,20.42166000000003,1031.2227
2977,-1.25,30.25,2015-06-01,0.6965117,1.7606366e-08,25.810500000000047,15.907039999999997,20.62924000000004,980.0499
3902,-1.25,30.25,2015-07-01,0.5578466,3.145315e-09,25.94810000000001,15.72750000000002,20.52510000000001,923.8229
4529,-1.25,30.25,2015-08-01,0.6167907,1.4123643e-08,26.26312000000001,16.002620000000036,20.51302000000004,945.83655
4871,-1.25,30.25,2015-09-01,0.6075874,1.7861048e-08,26.435450000000003,15.827800000000025,20.54260000000005,985.7826
5579,-1.25,30.25,2015-10-01,0.8177682,1.05504895e-07,24.91384000000005,15.54830000000004,19.70974000000001,1019.54395
6039,-1.25,30.25,2015-11-01,0.8305593,1.2395054e-07,24.94494000000003,15.120000000000005,19.31188000000003,1024.3867
6681,-1.25,30.25,2015-12-01,0.80484515,2.5199448e-08,25.32660000000004,15.38915000000003,19.522580000000005,1018.642
7166,-1.25,30.25,2016-01-01,0.65269834,2.978175e-08,25.361320000000035,15.994000000000028,20.54168000000004,1015.56226
7998,-1.25,30.25,2016-02-01,0.76460695,2.6543129e-08,26.797720000000027,16.461970000000008,21.359200000000044,1006.87146
8191,-1.25,30.25,2016-03-01,0.81199735,4.7506767e-08,25.69128000000001,15.957120000000032,20.349000000000046,1032.5881
8812,-1.25,30.25,2016-04-01,0.821361,3.5413233e-08,25.08984000000004,16.63915000000003,20.48388,1046.96
9342,-1.25,30.25,2016-05-01,0.699678,3.0149266e-08,24.936000000000035,16.30352000000005,20.42843000000005,1031.2734
10283,-1.25,30.25,2016-06-01,0.67669696,1.46635735e-08,25.850120000000004,15.73168000000004,20.646360000000016,977.9706
10748,-1.25,30.25,2016-07-01,0.5980188,4.479338e-09,26.74514000000005,15.65870000000001,20.61080000000004,932.49567
11116,-1.25,30.25,2016-08-01,0.65678805,2.6293112e-08,26.29653000000002,16.36170000000004,20.535360000000026,984.6875
11800,-1.25,30.25,2016-09-01,0.6823611,3.443452e-08,26.064450000000026,15.947600000000024,20.558160000000044,997.7138
12350,-1.25,30.25,2016-10-01,0.8587776,1.12338626e-07,24.99905000000001,15.96777000000003,19.86886000000004,1023.90784
12900,-1.25,30.25,2016-11-01,0.80402595,2.7567545e-08,24.96664000000004,15.545900000000016,19.78604000000001,1029.2538
13677,-1.25,30.25,2016-12-01,0.76515746,1.0142215e-07,23.79910000000001,14.89530000000002,18.93810000000002,1018.53204
13863,-1.25,30.25,2017-01-01,0.7873054,4.1328867e-08,25.638760000000048,16.011220000000037,20.4563,1014.2158
14920,-1.25,30.25,2017-02-01,0.7187249,4.0023167e-08,26.434050000000013,16.495480000000043,20.94702000000001,1013.5023
15193,-1.25,30.25,2017-03-01,0.779485,4.2339785e-08,25.88778000000002,16.493460000000027,20.91650000000004,1043.0094
