Unnamed: 0,time,lon,lat,Temperature_Air_2m_Mean_Night_Time
14710,2015-01-01,30.39999999998804,-1.199999999994816,293.36896
29509,2015-01-02,30.39999999998804,-1.199999999994816,294.11557
44308,2015-01-03,30.39999999998804,-1.199999999994816,294.02496
59107,2015-01-04,30.39999999998804,-1.199999999994816,293.04504
73906,2015-01-05,30.39999999998804,-1.199999999994816,293.3142
88705,2015-01-06,30.39999999998804,-1.199999999994816,293.04
103504,2015-01-07,30.39999999998804,-1.199999999994816,291.43484
118303,2015-01-08,30.39999999998804,-1.199999999994816,292.91055
133102,2015-01-09,30.39999999998804,-1.199999999994816,292.7472
147901,2015-01-10,30.39999999998804,-1.199999999994816,292.6333
162700,2015-01-11,30.39999999998804,-1.199999999994816,292.5613
177499,2015-01-12,30.39999999998804,-1.199999999994816,292.99686
192298,2015-01-13,30.39999999998804,-1.199999999994816,293.82703
207097,2015-01-14,30.39999999998804,-1.199999999994816,293.20758
221896,2015-01-15,30.39999999998804,-1.199999999994816,293.52646
236695,2015-01-16,30.39999999998804,-1.199999999994816,293.59445
251494,2015-01-17,30.39999999998804,-1.199999999994816,293.31247
266293,2015-01-18,30.39999999998804,-1.199999999994816,293.63715
281092,2015-01-19,30.39999999998804,-1.199999999994816,293.16272
295891,2015-01-20,30.39999999998804,-1.199999999994816,294.2651
310690,2015-01-21,30.39999999998804,-1.199999999994816,294.162
325489,2015-01-22,30.39999999998804,-1.199999999994816,293.25784
340288,2015-01-23,30.39999999998804,-1.199999999994816,291.52927
355087,2015-01-24,30.39999999998804,-1.199999999994816,294.506
369886,2015-01-25,30.39999999998804,-1.199999999994816,292.06192
384685,2015-01-26,30.39999999998804,-1.199999999994816,292.7707
399484,2015-01-27,30.39999999998804,-1.199999999994816,293.40643
414283,2015-01-28,30.39999999998804,-1.199999999994816,294.31442
429082,2015-01-29,30.39999999998804,-1.199999999994816,294.39017
443881,2015-01-30,30.39999999998804,-1.199999999994816,294.329
458680,2015-01-31,30.39999999998804,-1.199999999994816,294.20258
473479,2015-02-01,30.39999999998804,-1.199999999994816,294.1228
488278,2015-02-02,30.39999999998804,-1.199999999994816,294.3027
503077,2015-02-03,30.39999999998804,-1.199999999994816,294.22873
517876,2015-02-04,30.39999999998804,-1.199999999994816,293.91565
532675,2015-02-05,30.39999999998804,-1.199999999994816,292.9834
547474,2015-02-06,30.39999999998804,-1.199999999994816,294.34244
562273,2015-02-07,30.39999999998804,-1.199999999994816,294.0226
577072,2015-02-08,30.39999999998804,-1.199999999994816,294.8839
591871,2015-02-09,30.39999999998804,-1.199999999994816,293.905
606670,2015-02-10,30.39999999998804,-1.199999999994816,293.98383
621469,2015-02-11,30.39999999998804,-1.199999999994816,293.41208
636268,2015-02-12,30.39999999998804,-1.199999999994816,294.64972
651067,2015-02-13,30.39999999998804,-1.199999999994816,294.291
665866,2015-02-14,30.39999999998804,-1.199999999994816,294.03235
680665,2015-02-15,30.39999999998804,-1.199999999994816,294.01782
695464,2015-02-16,30.39999999998804,-1.199999999994816,293.92355
710263,2015-02-17,30.39999999998804,-1.199999999994816,293.5124
725062,2015-02-18,30.39999999998804,-1.199999999994816,292.35736
739861,2015-02-19,30.39999999998804,-1.199999999994816,293.64163
754660,2015-02-20,30.39999999998804,-1.199999999994816,293.6018
769459,2015-02-21,30.39999999998804,-1.199999999994816,293.68063
784258,2015-02-22,30.39999999998804,-1.199999999994816,293.21304
799057,2015-02-23,30.39999999998804,-1.199999999994816,293.91403
813856,2015-02-24,30.39999999998804,-1.199999999994816,292.50537
828655,2015-02-25,30.39999999998804,-1.199999999994816,292.59198
843454,2015-02-26,30.39999999998804,-1.199999999994816,292.85544
858253,2015-02-27,30.39999999998804,-1.199999999994816,293.73532
873052,2015-02-28,30.39999999998804,-1.199999999994816,294.31766
887851,2015-03-01,30.39999999998804,-1.199999999994816,290.988
902650,2015-03-02,30.39999999998804,-1.199999999994816,293.0967
917449,2015-03-03,30.39999999998804,-1.199999999994816,293.64017
932248,2015-03-04,30.39999999998804,-1.199999999994816,293.63144
947047,2015-03-05,30.39999999998804,-1.199999999994816,293.40997
961846,2015-03-06,30.39999999998804,-1.199999999994816,293.43234
976645,2015-03-07,30.39999999998804,-1.199999999994816,293.13007
991444,2015-03-08,30.39999999998804,-1.199999999994816,294.17126
1006243,2015-03-09,30.39999999998804,-1.199999999994816,293.92447
1021042,2015-03-10,30.39999999998804,-1.199999999994816,294.50882
1035841,2015-03-11,30.39999999998804,-1.199999999994816,293.95566
1050640,2015-03-12,30.39999999998804,-1.199999999994816,294.89575
1065439,2015-03-13,30.39999999998804,-1.199999999994816,294.159
1080238,2015-03-14,30.39999999998804,-1.199999999994816,294.5489
1095037,2015-03-15,30.39999999998804,-1.199999999994816,293.95212
1109836,2015-03-16,30.39999999998804,-1.199999999994816,293.64786
1124635,2015-03-17,30.39999999998804,-1.199999999994816,295.18103
1139434,2015-03-18,30.39999999998804,-1.199999999994816,295.20642
1154233,2015-03-19,30.39999999998804,-1.199999999994816,294.49774
1169032,2015-03-20,30.39999999998804,-1.199999999994816,293.9243
1183831,2015-03-21,30.39999999998804,-1.199999999994816,294.37643
1198630,2015-03-22,30.39999999998804,-1.199999999994816,293.0408
1213429,2015-03-23,30.39999999998804,-1.199999999994816,292.37878
1228228,2015-03-24,30.39999999998804,-1.199999999994816,290.8507
1243027,2015-03-25,30.39999999998804,-1.199999999994816,291.6586
1257826,2015-03-26,30.39999999998804,-1.199999999994816,292.83505
