Unnamed: 0,time,lon,lat,Temperature_Air_2m_Max_24h
14710,2015-01-01,30.39999999998804,-1.199999999994816,28.11074000000002
29509,2015-01-02,30.39999999998804,-1.199999999994816,28.504400000000032
44308,2015-01-03,30.39999999998804,-1.199999999994816,28.176140000000032
59107,2015-01-04,30.39999999998804,-1.199999999994816,28.10894000000002
73906,2015-01-05,30.39999999998804,-1.199999999994816,27.142800000000022
88705,2015-01-06,30.39999999998804,-1.199999999994816,28.460300000000014
103504,2015-01-07,30.39999999998804,-1.199999999994816,28.350340000000017
118303,2015-01-08,30.39999999998804,-1.199999999994816,27.97173000000004
133102,2015-01-09,30.39999999998804,-1.199999999994816,27.921080000000018
147901,2015-01-10,30.39999999998804,-1.199999999994816,28.16363000000001
162700,2015-01-11,30.39999999998804,-1.199999999994816,27.51666
177499,2015-01-12,30.39999999998804,-1.199999999994816,27.77600000000001
192298,2015-01-13,30.39999999998804,-1.199999999994816,28.321300000000008
207097,2015-01-14,30.39999999998804,-1.199999999994816,28.73174
221896,2015-01-15,30.39999999998804,-1.199999999994816,29.075000000000045
236695,2015-01-16,30.39999999998804,-1.199999999994816,28.59625
251494,2015-01-17,30.39999999998804,-1.199999999994816,30.13986
266293,2015-01-18,30.39999999998804,-1.199999999994816,29.559560000000037
281092,2015-01-19,30.39999999998804,-1.199999999994816,29.4076
295891,2015-01-20,30.39999999998804,-1.199999999994816,27.86282
310690,2015-01-21,30.39999999998804,-1.199999999994816,28.36560000000003
325489,2015-01-22,30.39999999998804,-1.199999999994816,26.358580000000018
340288,2015-01-23,30.39999999998804,-1.199999999994816,27.827200000000005
355087,2015-01-24,30.39999999998804,-1.199999999994816,25.7192
369886,2015-01-25,30.39999999998804,-1.199999999994816,27.12010000000004
384685,2015-01-26,30.39999999998804,-1.199999999994816,27.05212
399484,2015-01-27,30.39999999998804,-1.199999999994816,29.51934
414283,2015-01-28,30.39999999998804,-1.199999999994816,29.854240000000004
429082,2015-01-29,30.39999999998804,-1.199999999994816,29.635100000000023
443881,2015-01-30,30.39999999998804,-1.199999999994816,28.87910000000005
458680,2015-01-31,30.39999999998804,-1.199999999994816,28.416560000000004
473479,2015-02-01,30.39999999998804,-1.199999999994816,29.37234000000001
488278,2015-02-02,30.39999999998804,-1.199999999994816,29.95907
503077,2015-02-03,30.39999999998804,-1.199999999994816,28.63226000000003
517876,2015-02-04,30.39999999998804,-1.199999999994816,28.78246000000001
532675,2015-02-05,30.39999999998804,-1.199999999994816,29.427700000000016
547474,2015-02-06,30.39999999998804,-1.199999999994816,28.906980000000036
562273,2015-02-07,30.39999999998804,-1.199999999994816,30.23205000000001
577072,2015-02-08,30.39999999998804,-1.199999999994816,30.113980000000023
591871,2015-02-09,30.39999999998804,-1.199999999994816,28.40078
606670,2015-02-10,30.39999999998804,-1.199999999994816,29.09634
621469,2015-02-11,30.39999999998804,-1.199999999994816,30.12823000000003
636268,2015-02-12,30.39999999998804,-1.199999999994816,29.371669999999995
651067,2015-02-13,30.39999999998804,-1.199999999994816,29.65618000000001
665866,2015-02-14,30.39999999998804,-1.199999999994816,29.286280000000037
680665,2015-02-15,30.39999999998804,-1.199999999994816,28.2611
695464,2015-02-16,30.39999999998804,-1.199999999994816,27.97515000000004
710263,2015-02-17,30.39999999998804,-1.199999999994816,27.94045
725062,2015-02-18,30.39999999998804,-1.199999999994816,28.62820000000005
739861,2015-02-19,30.39999999998804,-1.199999999994816,29.19784000000004
754660,2015-02-20,30.39999999998804,-1.199999999994816,28.37470000000002
769459,2015-02-21,30.39999999998804,-1.199999999994816,29.103850000000023
784258,2015-02-22,30.39999999998804,-1.199999999994816,29.30474000000004
799057,2015-02-23,30.39999999998804,-1.199999999994816,28.57336000000004
813856,2015-02-24,30.39999999998804,-1.199999999994816,27.74178000000001
828655,2015-02-25,30.39999999998804,-1.199999999994816,27.16122000000001
843454,2015-02-26,30.39999999998804,-1.199999999994816,28.45333000000005
858253,2015-02-27,30.39999999998804,-1.199999999994816,29.854550000000017
873052,2015-02-28,30.39999999998804,-1.199999999994816,28.216600000000028
887851,2015-03-01,30.39999999998804,-1.199999999994816,27.62826000000001
902650,2015-03-02,30.39999999998804,-1.199999999994816,28.08877000000001
917449,2015-03-03,30.39999999998804,-1.199999999994816,27.03057000000001
932248,2015-03-04,30.39999999998804,-1.199999999994816,28.053830000000005
947047,2015-03-05,30.39999999998804,-1.199999999994816,26.894900000000007
961846,2015-03-06,30.39999999998804,-1.199999999994816,27.95980000000003
976645,2015-03-07,30.39999999998804,-1.199999999994816,29.579000000000008
991444,2015-03-08,30.39999999998804,-1.199999999994816,29.863820000000032
1006243,2015-03-09,30.39999999998804,-1.199999999994816,30.49255000000005
1021042,2015-03-10,30.39999999998804,-1.199999999994816,30.248000000000047
1035841,2015-03-11,30.39999999998804,-1.199999999994816,30.73406
1050640,2015-03-12,30.39999999998804,-1.199999999994816,29.05447000000004
1065439,2015-03-13,30.39999999998804,-1.199999999994816,28.449550000000045
1080238,2015-03-14,30.39999999998804,-1.199999999994816,29.212580000000003
1095037,2015-03-15,30.39999999998804,-1.199999999994816,30.244200000000035
1109836,2015-03-16,30.39999999998804,-1.199999999994816,29.496579999999994
1124635,2015-03-17,30.39999999998804,-1.199999999994816,29.23556000000002
1139434,2015-03-18,30.39999999998804,-1.199999999994816,28.076400000000035
1154233,2015-03-19,30.39999999998804,-1.199999999994816,28.4701
1169032,2015-03-20,30.39999999998804,-1.199999999994816,28.326840000000004
1183831,2015-03-21,30.39999999998804,-1.199999999994816,28.326000000000025
